source_id,query_id,query,domain,title,source_domain,creator_or_author,source_type,automated_quality,authority_signals,originality_signals,content_depth,visual_relevance,traceability,thumbnail_reliability,expansion_potential,recommended_long_term_role,human_review_status,notes
merch_v014_001,V014,sticker,merch,UNHCR character Stickers,behance.net,"Jungmin Studio (Rotterdam, Netherlands)",designer_portfolio_project,A,Real institutional client (UNHCR); named studio (Jungmin Studio) with creator-stated in-person client collaboration and active Instagram.,ORIGINAL_CREATOR_PUBLICATION,"MEDIUM — animated sticker set, no process documentation beyond final assets.",HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,"TESTED_L5 — all levels supported, though L3/creator-social link not independently re-verified beyond the page's own stated links.",PRIMARY_SOURCE,PENDING,"Genuine professional institutional commission, not a speculative personal project."
merch_v014_002,V014,sticker,merch,'Sweetless' Sticker Sheet,behance.net,"Samantha Gutierrez (Lima, Peru)",designer_portfolio_project,B,"Named independent illustrator, active Instagram beyond Behance, moderate engagement.",ORIGINAL_CREATOR_PUBLICATION,MEDIUM — cohesive multi-asset sticker sheet (GIF+PNG).,HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,SECONDARY_SOURCE,PENDING,Competent single-project portfolio piece.
merch_v014_003,V014,sticker,merch,It's giving Anye — Sticker Pack,behance.net,"Angie Quintero / ANYE (Bogota, Colombia)",designer_portfolio_project,B,"Named independent illustrator (personal brand ANYE), Behance-only presence.",ORIGINAL_CREATOR_PUBLICATION,MEDIUM — documents a stated stylistic evolution (glitter/holographic finish).,HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,SECONDARY_SOURCE,PENDING,"Special-finish printing claim is creator-stated, not independently verified — flag if used as a production-technique reference."
merch_v014_004,V014,sticker,merch,Personal sticker pack for messengers,behance.net,"Nina Shipkova (Moscow, Russian Federation)",designer_portfolio_project,B,Named independent illustrator with a real live deployment channel (active Telegram sticker pack linked from the project).,ORIGINAL_CREATOR_PUBLICATION,MEDIUM — multiple poses/expressions with animated GIF variations.,HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,SECONDARY_SOURCE,PENDING,Real end-use deployment (not just a portfolio render) strengthens this beyond a typical B.
merch_v014_005,V014,sticker,merch,Sexy Veggies sticker sheet,behance.net,"Carly Berry (Tallahassee, FL, USA)",designer_portfolio_project,A,"High engagement (978 appreciations, 7.7K views); verified professional hub beyond Behance (carlyberry.design, Faire wholesale, Patreon).",ORIGINAL_CREATOR_PUBLICATION,"MEDIUM — cohesive vintage-style character sheet, no process stage.",HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,TESTED_L4_PARTIAL — creator's own site independently confirmed (L3 SUPPORTED) but the specific product-collection section (L4) is currently inactive ('Shop will be back soon').,PRIMARY_SOURCE,PENDING,Strongest example in the pilot of a Behance result expanding to an independently confirmed personal commerce/creator site.
ecom_v216_001,V216,influencer post,ecommerce,AI Generated UGC Style Ad | Novara Skincare,behance.net,"Nancy Verma (New Delhi, India)",designer_portfolio_project,B,"Named designer, coherent purpose-built static UGC-style ad set for a specific named brand (Novara).",ORIGINAL_CREATOR_PUBLICATION,"MEDIUM — 6 composed mockups, no independent verification of the brand relationship.",HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,SECONDARY_SOURCE,PENDING,"Brand relationship (Novara) is creator-stated, not independently confirmed."
ecom_v216_002,V216,influencer post,ecommerce,从零到一，用对方法让小红书种草笔记的流量自己找上门,designkit.cn,Meitu Design Studio (Meitu Inc.),vendor_guidance_article,B,"Real, identifiable company (Meitu) publishing concrete, checkable design specs (3:4 ratio, 1080x1440px) for Xiaohongshu content.",VENDOR_EDITORIAL_CONTENT,"MEDIUM — template-gallery examples across styles, not one worked before/after case.",MEDIUM,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,NEEDS_HUMAN_REVIEW,PENDING,"Structurally different from every other candidate: an editorial/guidance article with reusable design specs, not a single-asset project case study. Whether Inspiration V1's per-asset thumbnail model can even represent this source type is a product-policy question, not a quality question — flagged for human decision rather than forced into PRIMARY/SECONDARY/DISCOVERY_ONLY."
ecom_v216_003,V216,influencer post,ecommerce,Influencer Media Kit,behance.net,"Fallon Gerst (Tampa, FL, USA)",designer_product_portfolio,B,"Independently verifiable personal brand beyond Behance (fallontravels.com, 'The Template Cure', Creative Market shop).",ORIGINAL_CREATOR_PUBLICATION,"MEDIUM — 4-template bundle, ~12 layout variations, no real documented campaign shown.",HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,TESTED_L4 — creator's own site (L3) independently confirmed active and professionally maintained; a dedicated media-kit-only section (L4) was not confirmed in the fetch (PARTIAL).,SECONDARY_SOURCE,PENDING,"Confirms a real ongoing small digital-product business; product is a template, not a documented real campaign, capping it below PRIMARY."
ecom_v216_004,V216,influencer post,ecommerce,UGC-Style Ad — Facial Serum | TikTok & Facebook,behance.net,"gabriel queiroz (Sao Paulo, Brazil)",designer_portfolio_project,C,Genuine named creator (gabriel queiroz) and real UGC-style ad format matching query intent.,ORIGINAL_CREATOR_PUBLICATION,"LOW — only production software listed, no static frame composition/palette/layout description extractable.",MEDIUM,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,DO_NOT_SCALE,PENDING,Insufficient extractable visual/compositional detail for a reusable inspiration record; video-only case study with minimal static-image description.
edu_v248_001,V248,flashcard,education,My First Vehicles Flashcards – 20 Printable 3D Cartoon,behance.net,"Creative Bayte (Agadir, Morocco)",designer_product_portfolio,B,Named designer/studio with a real commercial sales channel (linked Etsy listing) and a concrete age-targeted product spec.,ORIGINAL_CREATOR_PUBLICATION,MEDIUM — 20-card set with explicit print-format spec (US-Letter PDF).,HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,TESTED_L4 — Etsy shop link could not be independently re-confirmed via a separate search in this session (PARTIAL at creator level).,SECONDARY_SOURCE,PENDING,Etsy shop identity not independently re-verified — treat creator-level claim as unconfirmed pending re-check.
edu_v248_002,V248,flashcard,education,Animals Flashcard Design,behance.net,YB Digital Atelier (USA),designer_product_portfolio,B,Named studio with a real commercial sales channel (linked Etsy shop).,ORIGINAL_CREATOR_PUBLICATION,"MEDIUM — consistent card-to-card visual system, tagged for preschool/Montessori use.",HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,SECONDARY_SOURCE,PENDING,Clean single product line suited to the flashcard sub-intent.
edu_v248_003,V248,flashcard,education,Kids Alphabet and Number Cartoon Flash Card Design,behance.net,Anagata Art (Indonesia),designer_portfolio_project,B,Named independent illustrator with a clear specialty in this exact sub-intent (alphabet/number flashcards); email contact only.,ORIGINAL_CREATOR_PUBLICATION,"LOW-MEDIUM — single project, no verified external shop/site.",HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,SECONDARY_SOURCE,PENDING,No external verification beyond Behance.
edu_v248_004,V248,flashcard,education,Color Flashcard Design,behance.net,"Rakibul Hasan (Dhaka, Bangladesh)",designer_portfolio_project,B,Named independent designer covering a distinct flashcard sub-concept (color recognition) vs. the other 3 candidates.,ORIGINAL_CREATOR_PUBLICATION,"LOW-MEDIUM — grid-layout card set, Behance-only presence.",HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,SECONDARY_SOURCE,PENDING,"Sub-concept diversity within the query, not independently verified beyond Behance."
brand_v084_001,V084,logo,brand_logo,Uncle Joe's Branding Case Study,behance.net,"Shmart Studio (Istanbul, Turkey)",studio_portfolio_project,A,Pro-level studio (Shmart Studio) with an external Linktree confirming active professional presence beyond Behance.,ORIGINAL_CREATOR_PUBLICATION,"HIGH — multi-lockup logo system (portrait mark, monogram, badge), real applied system thinking.",HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,PRIMARY_SOURCE,PENDING,Strongest brand_logo authority signal not yet expansion-tested; system-level (not single-mark) case study.
brand_v084_002,V084,logo,brand_logo,Goufoo Case study | Agriculture Brand identity 2023,behance.net,"Rihan Art (Dhaka, Bangladesh)",designer_portfolio_project,A,"High engagement (39.7K views, 1.5K appreciations, 161 comments); verified multi-platform social presence (LinkedIn, Instagram, Dribbble, Facebook).",ORIGINAL_CREATOR_PUBLICATION,HIGH — brand-guideline pages and marketing-material applications shown alongside the mark.,HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,PRIMARY_SOURCE,PENDING,Established working designer confirmed via engagement + independent multi-platform presence.
brand_v084_003,V084,logo,brand_logo,Design Monks - UX/UI Agency Brand Identity & Logo Design,behance.net,"Design Monks (agency; Atiqur Rahaman and Abdullah Al Noman, Dhaka, Bangladesh)",agency_self_branding_project,A,"Real, independently verified, fully operational multi-office agency (designmonks.co, 200+ claimed clients, named client case studies, 4.9-star rating).",ORIGINAL_CREATOR_PUBLICATION,HIGH — agency's own self-branding system across website and landing-page materials.,HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,TESTED_L5 — strongest brand_logo expansion result; agency independently confirmed via WebFetch.,PRIMARY_SOURCE,PENDING,Strongest independently-confirmed professional presence of any V084 candidate.
brand_v084_004,V084,logo,brand_logo,Zendo | SaaS Productivity Branding Case Study,behance.net,"Habib Munshi (Budapest, Hungary) with HAS Branding Agency (Melbourne, Australia)",designer_agency_collab_project,B,"Named individual designer collaborating with a named agency (HAS Branding Agency); decent engagement (635 appreciations, 8.2K views).",ORIGINAL_CREATOR_PUBLICATION,MEDIUM — structured visual-identity system across multiple modules/collateral.,HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,SECONDARY_SOURCE,PENDING,No external site beyond respective Behance profiles found; fictional/conceptual client (not a real business).
brand_v084_005,V084,logo,brand_logo,SkyRuote Logo case study and Stationary Design,behance.net,"Robin Hossen (Dhaka, Bangladesh)",designer_portfolio_project,B,Named designer with independently listed LinkedIn presence.,ORIGINAL_CREATOR_PUBLICATION,MEDIUM — shows logo construction/grid documentation (some process visibility) plus a real secondary application (stationery).,HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,SECONDARY_SOURCE,PENDING,Bridges the V084 logo query and the V094 business-card sub-intent within one case study.
edu_v260_001,V260,certificate,education,Certificate & Formal Document Design 2024/2025,behance.net,"Yakoub Matmour (Annaba, Algeria)",designer_portfolio_project,B,"Named independent designer, coherent recently-published (2024/2025) multi-certificate portfolio piece; Behance-only presence.",ORIGINAL_CREATOR_PUBLICATION,MEDIUM — multi-certificate collection with stated design intent (layout/typography/hierarchy).,HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,SECONDARY_SOURCE,PENDING,Page does not specify exact achievement type per certificate.
edu_v260_002,V260,certificate,education,Certificate Design as a Brand Touchpoint,behance.net,Anastasiia Kotomkina (Ukraine),designer_portfolio_project,A,Named designer with a broader active portfolio (6+ branding projects); distinctive stated POV (certificate-as-brand-touchpoint).,ORIGINAL_CREATOR_PUBLICATION,"MEDIUM — minimalist system with stated design rationale, no process stage.",HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE (Behance page itself). Creator's own external site (kotomkina.com) returned HTTP 402 on independent re-fetch.",AVAILABLE,"TESTED_L4_BLOCKED — L1/L2/L4/L5 SUPPORTED; L3 (creator-owned site) ACCESS_BLOCKED (HTTP 402 Payment Required, likely lapsed hosting).",PRIMARY_SOURCE,PENDING,"Behance page and Behance-hosted creator profile remain accessible and strong; only the creator's own external domain is currently down — re-check periodically, do not treat as a permanent disqualifier."
edu_v260_003,V260,certificate,education,Certificate of Completion (Course Certificate),behance.net,"Sehar Raza (Islamabad, Pakistan)",designer_portfolio_project,B,"Named independent designer, moderate engagement (1,616 views); no named real course/institution attached.",ORIGINAL_CREATOR_PUBLICATION,LOW — single generic template project.,HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,SECONDARY_SOURCE,PENDING,Generic template without a named institution attached; still a real named designer's own publication.
edu_v260_004,V260,certificate,education,AI Fluency for Students – Certificate of Completion,behance.net,"Dhruv Desai (Surat, India) — recipient, not the certificate's designer",recipient_shared_real_credential,B,"Genuine real-world certificate from a well-known, verifiable issuing organization (Anthropic).",RECIPIENT_REPOST,"LOW — a single shared credential image; no design rationale, process, or system from the certificate's actual designer.",MEDIUM,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,NEEDS_HUMAN_REVIEW,PENDING,"This is a student's repost of their own credential, not a design case study from the certificate's original designer. Whether 'recipient-shared real artifact' should be a source class Curify scales at all — and if so, how attribution should work when the poster isn't the designer — is a policy question this pilot cannot resolve alone."
brand_v094_001,V094,business card,brand_logo,Corporate Branding Stationery,behance.net,"Jahan Ullah (Dhaka, Bangladesh)",designer_product_portfolio,B,"Named designer with verified external presence (Dribbble, Instagram, GraphicRiver commerce listing).",ORIGINAL_CREATOR_PUBLICATION,"MEDIUM — 8-piece coordinated stationery system, but a generic customizable template, not a real specific client project.",HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,SECONDARY_SOURCE,PENDING,Real commerce channel (GraphicRiver) but sold as a customizable template rather than a documented client engagement.
brand_v094_002,V094,business card,brand_logo,Letterpress Business Cards,behance.net,"Deb Pang Davis (Minneapolis, MN, USA)",designer_portfolio_project,A,"Real named individual client (Jason Monfort, a Portland wood designer) tied to a specific craft.",ORIGINAL_CREATOR_PUBLICATION,"HIGH — explicit stated production technique and material detail (letterpress, kraft paper, varnish finish).",HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,PRIMARY_SOURCE,PENDING,"Directly useful for professional-constraint/production-method reference, not just visual style."
brand_v094_003,V094,business card,brand_logo,CLIFFARD SEAFOOD RESTAURANT,behance.net,"Daria Klets (Prague, Czech Republic)",designer_portfolio_project,A,"High engagement (1.5K appreciations, 11.3K views, 96 comments).",ORIGINAL_CREATOR_PUBLICATION,HIGH — full mascot-driven identity system applied across business cards and other branding materials.,HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,PRIMARY_SOURCE,PENDING,"Distinctive non-generic mascot-driven identity, directly relevant to Curify's character-illustration strengths."
brand_v094_004,V094,business card,brand_logo,GOOD Interior Studio Logo & Visual Identity,behance.net,"Aryna Bukel (Minsk, Belarus)",designer_portfolio_project,A,"Named designer with stated, specific design rationale (pattern sourced from architectural blueprint line work); decent engagement (430 appreciations).",ORIGINAL_CREATOR_PUBLICATION,HIGH — wide coherent collateral system spanning business card through gift-certificate and packaging touchpoints.,HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,PRIMARY_SOURCE,PENDING,Cross-touchpoint system (brand_logo -> packaging) gives this reuse value beyond a single business card.
brand_v094_005,V094,business card,brand_logo,Nook Coffee,behance.net,"Bruno Lopes (Pelotas, Brazil)",designer_portfolio_project,A,"Independently verified as a real, currently-operating business at a specific real-world location (Pelotas, Brazil); named designer with verified LinkedIn/Instagram.",ORIGINAL_CREATOR_PUBLICATION,"HIGH — full identity system (typeface, palette, style guide) applied across business cards and stationery.",HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,TESTED_L5 — one of the strongest real-business confirmations in the full pilot.,PRIMARY_SOURCE,PENDING,Independently confirmed via a separate WebSearch matching the case study's own description almost exactly.
pack_v098_001,V098,coffee package,packaging,CRAVEA | Coffee Brand Identity & Packaging | Case Study,behance.net,"Sleeko Studio x DewApples Studio (Dhaka, Bangladesh)",studio_collaboration_project,A,"Two named collaborating studios with extensive independently-listed social presence (Facebook, Dribbble, LinkedIn, Instagram, X) and direct business contact info.",ORIGINAL_CREATOR_PUBLICATION,"HIGH — comprehensive cross-touchpoint case study (packaging + digital), not packaging alone.",HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,PRIMARY_SOURCE,PENDING,Cross-touchpoint (packaging + UI) reference value beyond a single packaging render.
pack_v098_002,V098,coffee package,packaging,ALTO ROASTERS | Coffee Brand Identity & Packaging,behance.net,"Catherine & Vlad / July Studio (Nicosia, Cyprus)",studio_portfolio_project,A,"High engagement (2.3K appreciations, 19.5K views); independent third-party recognition ('Best of Behance', MindSparkle Magazine).",ORIGINAL_CREATOR_PUBLICATION,"MEDIUM-HIGH — full coffee-brand identity and packaging system, premium positioning.",HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,PRIMARY_SOURCE,PENDING,External validation (press feature) beyond the platform itself is a stronger authority signal than engagement metrics alone.
pack_v098_003,V098,coffee package,packaging,Swerl Coffee Roasters - Brand identity & packaging,andreaspedersen.se (discovered via behance.net),Andreas Pedersen,designer_own_site_project,A,"Independently verified real, award-winning specialty roastery (Top 100 Specialty Coffee Roasters globally; 2nd place Nordic's Best Roasters 2025), active commerce site.",ORIGINAL_CREATOR_PUBLICATION,"HIGH — richest case study in the pilot (van inspiration, Falkenberg falcon-crest mascot, Matisse influence) found on the designer's own site.",HIGH,"INDIRECT — canonical_url (andreaspedersen.se) differs from discovery source_url (Behance); discovered_via records Behance, canonical_url points to the designer's own richer page per instruction.",AVAILABLE,TESTED_L5 — strongest full-chain real-business confirmation across the entire 10-query pilot.,PRIMARY_SOURCE,PENDING,Best demonstration in the whole pilot of the asset->page->creator/site expansion model working end-to-end with a materially richer canonical source than the discovery surface.
pack_v098_004,V098,coffee package,packaging,SIPPA drip bags | Brand identity | Packaging design,behance.net,"Anna Bitens (Saint Petersburg, Russia)",designer_portfolio_project,B,"Named designer, decent engagement (515 appreciations, 5.7K views), Behance-only presence.",ORIGINAL_CREATOR_PUBLICATION,MEDIUM — distinct format (drip bags) with a clearly stated conceptual rationale.,HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,SECONDARY_SOURCE,PENDING,Format diversity (drip bag vs. whole-bean bag) within the query.
pack_v098_005,V098,coffee package,packaging,KakaoBank Brand Goods Drip Bag Coffee Duo,behance.net,"Kakaobank Design (Seoul, Korea) -- Seunghyun Lee, Ziyoung Kim, Hyeram Kim",institutional_inhouse_team_project,A,"Real, well-known institution (KakaoBank) with a named in-house design team and named external roastery collaborator (ACR).",ORIGINAL_CREATOR_PUBLICATION,"MEDIUM-HIGH — branded merchandise system with QR-linked content, dual-variation labeling.",HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,PRIMARY_SOURCE,PENDING,"Strongest institutional-authority example among V098 candidates, though a corporate merch tie-in rather than an independent coffee brand's core packaging."
pack_v120_001,V120,gift box,packaging,Edifier Valentine's Day Gift Box Packaging Design,behance.net,"zwqy .lab (Hong Kong SAR) and zwqy. LIDIN (Guangzhou, China)",designer_studio_project_for_named_brand,A,"Real, well-known, established audio-electronics manufacturer (Edifier, founded 1996, global retail presence).",ORIGINAL_CREATOR_PUBLICATION,"HIGH — genuinely complex structural packaging mechanism (dual-opening, magnetic closure, hidden drawer).",HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,"TESTED_L5 — Edifier independently confirmed via WebSearch (official retail sites, Wikipedia entry); among the most institutionally authoritative brand confirmations in the pilot.",PRIMARY_SOURCE,PENDING,Institutional authority plus structural-mechanism depth make this one of the pilot's strongest packaging records.
pack_v120_002,V120,gift box,packaging,2026小红书校招礼盒设计 (2026 Xiaohongshu Campus Recruitment Gift Box Design),behance.net,"Waves 海浪设计, Eric 邱, shuli ren, Vince Hu (Kunming, China / Italy)",designer_studio_project_for_named_brand,A,"Real, major, well-known institution (Xiaohongshu/RED, a leading Chinese social-commerce platform) as the named client.",ORIGINAL_CREATOR_PUBLICATION,HIGH — concrete stated material detail (kraft paper + acrylic) and a coherent multi-item gift-set concept.,HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,PRIMARY_SOURCE,PENDING,Institutional authority signal as strong as the tested Edifier/KakaoBank rows; not yet expansion-tested.
pack_v120_003,V120,gift box,packaging,KOOKYCREAM - NEW YEAR GIFT BOX,behance.net,COOOT Studio (China),studio_portfolio_project,B,Named Pro-status studio (COOOT Studio) with a real seasonal-gifting occasion concept.,ORIGINAL_CREATOR_PUBLICATION,LOW-MEDIUM — specific packaging materials/structure not disclosed on the page.,HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,SECONDARY_SOURCE,PENDING,Content-understanding depth limited relative to other V120 candidates.
pack_v120_004,V120,gift box,packaging,Flourishing Banquet Gift Box｜花果盛宴禮盒設計,behance.net,"AAOO STUDIO (Taipei, Taiwan)",studio_portfolio_project,A,Named studio with a specific stated production/finishing detail (gold foil accents).,ORIGINAL_CREATOR_PUBLICATION,"HIGH — considered exterior/interior functional distinction (brand identity outside, usage instructions inside).",HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,PRIMARY_SOURCE,PENDING,"Specific, checkable production detail (gold foil) rather than a generic render."
