query_id,query,language,scenario,category,reason,domain,subdomain,intent,decision,duplicate_type,duplicate_group,merge_target,decision_reason,confidence
V020,blind box,en,creative_merch,blind_box,任务 Creative/Merch 场景正面示例词，具体实物,merch,blind_box,reference images of blind-box/mystery collectible packaging and figures (blind_box),KEEP,NEAR_DUPLICATE,P010,,Category default: creative_merch/blind_box -> domain=merch. Cross-language translation pair with V019; both kept (Curify serves zh and en).,HIGH
V021,动作人偶,zh,creative_merch,figure,具体收藏玩具实物，视觉目标清晰,merch,action_figure,reference images of collectible figures for merch/product design (action_figure),KEEP,NEAR_DUPLICATE,P011,,Category default: creative_merch/figure -> domain=merch. Cross-language translation pair with V022; both kept (Curify serves zh and en).,HIGH
V022,action figure,en,creative_merch,figure,具体收藏玩具实物，视觉目标清晰,merch,action_figure,reference images of collectible figures for merch/product design (action_figure),KEEP,NEAR_DUPLICATE,P011,,Category default: creative_merch/figure -> domain=merch. Cross-language translation pair with V021; both kept (Curify serves zh and en).,HIGH
V023,泰迪熊,zh,creative_merch,plush,具体玩偶实物，视觉目标清晰,merch,plush,reference images of plush toys for merch design (plush),KEEP,NEAR_DUPLICATE,P012,,Category default: creative_merch/plush -> domain=merch. Cross-language translation pair with V024; both kept (Curify serves zh and en).,HIGH
V024,teddy bear,en,creative_merch,plush,具体玩偶实物，视觉目标清晰,merch,plush,reference images of plush toys for merch design (plush),KEEP,NEAR_DUPLICATE,P012,,Category default: creative_merch/plush -> domain=merch. Cross-language translation pair with V023; both kept (Curify serves zh and en).,HIGH
V025,扭蛋,zh,creative_merch,blind_box,具体收藏玩具实物，视觉目标清晰，盲盒/扭蛋同类机制,merch,capsule_toy_gacha,reference images of blind-box/mystery collectible packaging and figures (capsule_toy_gacha),KEEP,NEAR_DUPLICATE,P013,,Category default: creative_merch/blind_box -> domain=merch. Cross-language translation pair with V026; both kept (Curify serves zh and en).,HIGH
V026,capsule toy,en,creative_merch,blind_box,具体收藏玩具实物，视觉目标清晰，盲盒/扭蛋同类机制,merch,capsule_toy_gacha,reference images of blind-box/mystery collectible packaging and figures (capsule_toy_gacha),KEEP,NEAR_DUPLICATE,P013,,Category default: creative_merch/blind_box -> domain=merch. Cross-language translation pair with V025; both kept (Curify serves zh and en).,HIGH
V027,卡牌,zh,creative_merch,collectible,具体收藏品实物，视觉目标清晰,merch,trading_card,reference images of collectible items (trading_card),KEEP,NEAR_DUPLICATE,P014,,Category default: creative_merch/collectible -> domain=merch. Cross-language translation pair with V028; both kept (Curify serves zh and en).,HIGH
V028,trading card,en,creative_merch,collectible,具体收藏品实物，视觉目标清晰,merch,trading_card,reference images of collectible items (trading_card),KEEP,NEAR_DUPLICATE,P014,,Category default: creative_merch/collectible -> domain=merch. Cross-language translation pair with V027; both kept (Curify serves zh and en).,HIGH
V029,模型,zh,creative_merch,collectible,具体收藏品实物，视觉目标清晰,merch,model_kit,reference images of collectible items (model_kit),KEEP,NEAR_DUPLICATE,P015,,Category default: creative_merch/collectible -> domain=merch. Cross-language translation pair with V030; both kept (Curify serves zh and en).,HIGH
V030,model kit,en,creative_merch,collectible,具体收藏品实物，视觉目标清晰,merch,model_kit,reference images of collectible items (model_kit),KEEP,NEAR_DUPLICATE,P015,,Category default: creative_merch/collectible -> domain=merch. Cross-language translation pair with V029; both kept (Curify serves zh and en).,HIGH
V031,雕像,zh,creative_merch,collectible,具体收藏品实物，视觉目标清晰,merch,statue,reference images of collectible items (statue),KEEP,NEAR_DUPLICATE,P016,,Category default: creative_merch/collectible -> domain=merch. Cross-language translation pair with V032; both kept (Curify serves zh and en).,HIGH
V032,statue,en,creative_merch,collectible,具体收藏品实物，视觉目标清晰,merch,statue,reference images of collectible items (statue),KEEP,NEAR_DUPLICATE,P016,,Category default: creative_merch/collectible -> domain=merch. Cross-language translation pair with V031; both kept (Curify serves zh and en).,HIGH
V033,帆布袋,zh,creative_merch,merch_item,具体品牌周边实物，视觉目标清晰,merch,bag_accessory,reference images of branded/IP merchandise items (bag_accessory),KEEP,NEAR_DUPLICATE,P017,,Category default: creative_merch/merch_item -> domain=merch. Cross-language translation pair with V034; both kept (Curify serves zh and en).,HIGH
V034,tote bag,en,creative_merch,merch_item,具体品牌周边实物，视觉目标清晰,merch,bag_accessory,reference images of branded/IP merchandise items (bag_accessory),KEEP,NEAR_DUPLICATE,P017,,Category default: creative_merch/merch_item -> domain=merch. Cross-language translation pair with V033; both kept (Curify serves zh and en).,HIGH
V035,手机壳,zh,creative_merch,merch_item,具体品牌周边实物，视觉目标清晰,merch,tech_accessory,reference images of branded/IP merchandise items (tech_accessory),KEEP,NEAR_DUPLICATE,P018,,Category default: creative_merch/merch_item -> domain=merch. Cross-language translation pair with V036; both kept (Curify serves zh and en).,HIGH
V036,phone case,en,creative_merch,merch_item,具体品牌周边实物，视觉目标清晰,merch,tech_accessory,reference images of branded/IP merchandise items (tech_accessory),KEEP,NEAR_DUPLICATE,P018,,Category default: creative_merch/merch_item -> domain=merch. Cross-language translation pair with V035; both kept (Curify serves zh and en).,HIGH
V037,徽章,zh,creative_merch,merch_item,具体收藏周边实物，视觉目标清晰,merch,badge_pin,reference images of branded/IP merchandise items (badge_pin),KEEP,NEAR_DUPLICATE,P019,,Category default: creative_merch/merch_item -> domain=merch. Cross-language translation pair with V038; both kept (Curify serves zh and en).,HIGH
V038,badge,en,creative_merch,merch_item,具体收藏周边实物，视觉目标清晰,merch,badge_pin,reference images of branded/IP merchandise items (badge_pin),KEEP,NEAR_DUPLICATE,P019,,Category default: creative_merch/merch_item -> domain=merch. Cross-language translation pair with V037; both kept (Curify serves zh and en).,HIGH
V039,胸针,zh,creative_merch,merch_item,具体收藏周边实物，视觉目标清晰,merch,badge_pin,reference images of branded/IP merchandise items (badge_pin),KEEP,NEAR_DUPLICATE,P020,,Category default: creative_merch/merch_item -> domain=merch. Cross-language translation pair with V040; both kept (Curify serves zh and en).,HIGH
V040,enamel pin,en,creative_merch,merch_item,具体收藏周边实物，视觉目标清晰,merch,badge_pin,reference images of branded/IP merchandise items (badge_pin),KEEP,NEAR_DUPLICATE,P020,,Category default: creative_merch/merch_item -> domain=merch. Cross-language translation pair with V039; both kept (Curify serves zh and en).,HIGH
V041,冰箱贴,zh,creative_merch,merch_item,具体收藏周边实物，视觉目标清晰,merch,magnet_charm,reference images of branded/IP merchandise items (magnet_charm),KEEP,NEAR_DUPLICATE,P021,,Category default: creative_merch/merch_item -> domain=merch. Cross-language translation pair with V042; both kept (Curify serves zh and en).,HIGH
V042,magnet,en,creative_merch,merch_item,具体收藏周边实物，视觉目标清晰,merch,magnet_charm,reference images of branded/IP merchandise items (magnet_charm),KEEP,NEAR_DUPLICATE,P021,,Category default: creative_merch/merch_item -> domain=merch. Cross-language translation pair with V041; both kept (Curify serves zh and en).,HIGH
V043,挂绳,zh,creative_merch,merch_item,具体周边实物，视觉目标清晰,merch,wearable_accessory,reference images of branded/IP merchandise items (wearable_accessory),KEEP,NEAR_DUPLICATE,P022,,Category default: creative_merch/merch_item -> domain=merch. Cross-language translation pair with V044; both kept (Curify serves zh and en).,HIGH
V044,lanyard,en,creative_merch,merch_item,具体周边实物，视觉目标清晰,merch,wearable_accessory,reference images of branded/IP merchandise items (wearable_accessory),KEEP,NEAR_DUPLICATE,P022,,Category default: creative_merch/merch_item -> domain=merch. Cross-language translation pair with V043; both kept (Curify serves zh and en).,HIGH
V045,迷你手办,zh,creative_merch,figure,具体收藏玩具实物，视觉目标清晰,merch,mini_figure,reference images of collectible figures for merch/product design (mini_figure),KEEP,NEAR_DUPLICATE,P023,,Category default: creative_merch/figure -> domain=merch. Cross-language translation pair with V046; both kept (Curify serves zh and en).,HIGH
V046,mini figure,en,creative_merch,figure,具体收藏玩具实物，视觉目标清晰,merch,mini_figure,reference images of collectible figures for merch/product design (mini_figure),KEEP,NEAR_DUPLICATE,P023,,Category default: creative_merch/figure -> domain=merch. Cross-language translation pair with V045; both kept (Curify serves zh and en).,HIGH
V047,潮流公仔,zh,creative_merch,collectible,具体潮玩收藏品实物，视觉目标清晰,merch,designer_vinyl,reference images of collectible items (designer_vinyl),KEEP,NEAR_DUPLICATE,P024,,Category default: creative_merch/collectible -> domain=merch. Cross-language translation pair with V048; both kept (Curify serves zh and en).,HIGH
V048,vinyl toy,en,creative_merch,collectible,具体潮玩收藏品实物，视觉目标清晰,merch,designer_vinyl,reference images of collectible items (designer_vinyl),KEEP,NEAR_DUPLICATE,P024,,Category default: creative_merch/collectible -> domain=merch. Cross-language translation pair with V047; both kept (Curify serves zh and en).,HIGH
V049,潮流手办,zh,creative_merch,figure,具体潮玩收藏品实物，视觉目标清晰,merch,pop_figure_designer_toy,reference images of collectible figures for merch/product design (pop_figure_designer_toy),KEEP,NEAR_DUPLICATE,P025,,Category default: creative_merch/figure -> domain=merch. Cross-language translation pair with V050; both kept (Curify serves zh and en).,HIGH
V050,pop figure,en,creative_merch,figure,具体潮玩收藏品实物，视觉目标清晰,merch,pop_figure_designer_toy,reference images of collectible figures for merch/product design (pop_figure_designer_toy),KEEP,NEAR_DUPLICATE,P025,,Category default: creative_merch/figure -> domain=merch. Cross-language translation pair with V049; both kept (Curify serves zh and en).,HIGH
V051,惊喜盒子,zh,creative_merch,blind_box,具体收藏玩具购买形式实物，视觉目标清晰,merch,mystery_box,reference images of blind-box/mystery collectible packaging and figures (mystery_box),KEEP,NEAR_DUPLICATE,P026,,Category default: creative_merch/blind_box -> domain=merch. Cross-language translation pair with V052; both kept (Curify serves zh and en).,HIGH
V052,mystery box,en,creative_merch,blind_box,具体收藏玩具购买形式实物，视觉目标清晰,merch,mystery_box,reference images of blind-box/mystery collectible packaging and figures (mystery_box),KEEP,NEAR_DUPLICATE,P026,,Category default: creative_merch/blind_box -> domain=merch. Cross-language translation pair with V051; both kept (Curify serves zh and en).,HIGH
V053,挂件,zh,creative_merch,merch_item,具体周边实物，视觉目标清晰,merch,magnet_charm,reference images of branded/IP merchandise items (magnet_charm),KEEP,NEAR_DUPLICATE,P027,,Category default: creative_merch/merch_item -> domain=merch. Cross-language translation pair with V054; both kept (Curify serves zh and en).,HIGH
V054,charm,en,creative_merch,merch_item,具体周边实物，视觉目标清晰,merch,magnet_charm,reference images of branded/IP merchandise items (magnet_charm),KEEP,NEAR_DUPLICATE,P027,,Category default: creative_merch/merch_item -> domain=merch. Cross-language translation pair with V053; both kept (Curify serves zh and en).,HIGH
V055,马克杯,zh,creative_merch,merch_item,具体品牌/IP 周边实物，视觉目标清晰,merch,drinkware,reference images of branded/IP merchandise items (drinkware),KEEP,NEAR_DUPLICATE,P028,,Category default: creative_merch/merch_item -> domain=merch. Cross-language translation pair with V056; both kept (Curify serves zh and en).,HIGH
V056,collectible mug,en,creative_merch,merch_item,具体品牌/IP 周边实物，视觉目标清晰,merch,drinkware,reference images of branded/IP merchandise items (drinkware),KEEP,NEAR_DUPLICATE,P028,,Category default: creative_merch/merch_item -> domain=merch. Cross-language translation pair with V055; both kept (Curify serves zh and en).,HIGH
V057,抱枕,zh,creative_merch,merch_item,具体IP周边实物，视觉目标清晰,merch,home_goods,reference images of branded/IP merchandise items (home_goods),KEEP,NEAR_DUPLICATE,P029,,Category default: creative_merch/merch_item -> domain=merch. Cross-language translation pair with V058; both kept (Curify serves zh and en).,HIGH
V058,plush pillow,en,creative_merch,merch_item,具体IP周边实物，视觉目标清晰,merch,home_goods,reference images of branded/IP merchandise items (home_goods),KEEP,NEAR_DUPLICATE,P029,,Category default: creative_merch/merch_item -> domain=merch. Cross-language translation pair with V057; both kept (Curify serves zh and en).,HIGH
V059,拼图,zh,creative_merch,collectible,具体收藏/益智类实物，视觉目标清晰,merch,puzzle,reference images of collectible items (puzzle),KEEP,NEAR_DUPLICATE,P030,,Category default: creative_merch/collectible -> domain=merch. Cross-language translation pair with V060; both kept (Curify serves zh and en).,HIGH
V060,puzzle,en,creative_merch,collectible,具体收藏/益智类实物，视觉目标清晰,merch,puzzle,reference images of collectible items (puzzle),KEEP,NEAR_DUPLICATE,P030,,Category default: creative_merch/collectible -> domain=merch. Cross-language translation pair with V059; both kept (Curify serves zh and en).,HIGH
V061,积木,zh,creative_merch,collectible,具体收藏/拼砌类实物，视觉目标清晰,merch,building_blocks,reference images of collectible items (building_blocks),KEEP,NEAR_DUPLICATE,P031,,Category default: creative_merch/collectible -> domain=merch. Cross-language translation pair with V062; both kept (Curify serves zh and en).,HIGH
V062,building blocks,en,creative_merch,collectible,具体收藏/拼砌类实物，视觉目标清晰,merch,building_blocks,reference images of collectible items (building_blocks),KEEP,NEAR_DUPLICATE,P031,,Category default: creative_merch/collectible -> domain=merch. Cross-language translation pair with V061; both kept (Curify serves zh and en).,HIGH
V063,公仔盒,zh,creative_merch,merch_item,具体收藏周边实物，视觉目标清晰,merch,figure_box,reference images of branded/IP merchandise items (figure_box),KEEP,NONE,,,"Source-file pairing artifact: adjacent row V064 ('sticker pack') is NOT a translation of V063 (公仔盒 = 'figure display/storage box'). Treated as standalone, not a cross-language duplicate of V064.",MEDIUM
V064,sticker pack,en,creative_merch,merch_item,具体收藏周边实物，视觉目标清晰,merch,sticker,reference images of branded/IP merchandise items (sticker),KEEP,NONE,,,"Source-file pairing artifact: adjacent row V063 ('公仔盒'/figure box) is NOT the Chinese translation of 'sticker pack'. Treated as standalone, not a cross-language duplicate of V063.",MEDIUM
V065,文创手办,zh,creative_merch,figure,文创/文博类周边实物，覆盖 Creative/Cultural 需求,merch,cultural_figure,reference images of collectible figures for merch/product design (cultural_figure),KEEP,NEAR_DUPLICATE,P033,,Category default: creative_merch/figure -> domain=merch. Cross-language translation pair with V066; both kept (Curify serves zh and en).,HIGH
V066,cultural relic figure,en,creative_merch,figure,文创/文博类周边实物，覆盖 Creative/Cultural 需求,merch,cultural_figure,reference images of collectible figures for merch/product design (cultural_figure),KEEP,NEAR_DUPLICATE,P033,,Category default: creative_merch/figure -> domain=merch. Cross-language translation pair with V065; both kept (Curify serves zh and en).,HIGH
V067,博物馆文创,zh,creative_merch,merch_item,文博文创类周边实物，覆盖 Cultural/Merch 需求,merch,cultural_museum_merch,reference images of branded/IP merchandise items (cultural_museum_merch),KEEP,NEAR_DUPLICATE,P034,,Category default: creative_merch/merch_item -> domain=merch. Cross-language translation pair with V068; both kept (Curify serves zh and en).,HIGH
V068,museum souvenir,en,creative_merch,merch_item,文博文创类周边实物，覆盖 Cultural/Merch 需求,merch,cultural_museum_merch,reference images of branded/IP merchandise items (cultural_museum_merch),KEEP,NEAR_DUPLICATE,P034,,Category default: creative_merch/merch_item -> domain=merch. Cross-language translation pair with V067; both kept (Curify serves zh and en).,HIGH
V069,国潮公仔,zh,creative_merch,figure,国风/国潮IP周边实物，覆盖 Creative/Cultural 需求,merch,ip_figure,reference images of collectible figures for merch/product design (ip_figure),KEEP,NEAR_DUPLICATE,P035,,Category default: creative_merch/figure -> domain=merch. Cross-language translation pair with V070; both kept (Curify serves zh and en).,HIGH
V070,IP figure,en,creative_merch,figure,国风/国潮IP周边实物，覆盖 Creative/Cultural 需求,merch,ip_figure,reference images of collectible figures for merch/product design (ip_figure),KEEP,NEAR_DUPLICATE,P035,,Category default: creative_merch/figure -> domain=merch. Cross-language translation pair with V069; both kept (Curify serves zh and en).,HIGH
V071,动漫周边,zh,creative_merch,merch_item,二次元周边实物，覆盖 Creative/Merch 需求,merch,anime_merch,reference images of branded/IP merchandise items (anime_merch),KEEP,NEAR_DUPLICATE,P036,,Category default: creative_merch/merch_item -> domain=merch. Cross-language translation pair with V072; both kept (Curify serves zh and en).,HIGH
V072,anime merch,en,creative_merch,merch_item,二次元周边实物，覆盖 Creative/Merch 需求,merch,anime_merch,reference images of branded/IP merchandise items (anime_merch),KEEP,NEAR_DUPLICATE,P036,,Category default: creative_merch/merch_item -> domain=merch. Cross-language translation pair with V071; both kept (Curify serves zh and en).,HIGH
V073,明信片套装,zh,creative_merch,merch_item,文创周边实物，覆盖 Creative/Cultural 需求,merch,print_merch,reference images of branded/IP merchandise items (print_merch),KEEP,NEAR_DUPLICATE,P037,,Category default: creative_merch/merch_item -> domain=merch. Cross-language translation pair with V074; both kept (Curify serves zh and en).,HIGH
V074,postcard set,en,creative_merch,merch_item,文创周边实物，覆盖 Creative/Cultural 需求,merch,print_merch,reference images of branded/IP merchandise items (print_merch),KEEP,NEAR_DUPLICATE,P037,,Category default: creative_merch/merch_item -> domain=merch. Cross-language translation pair with V073; both kept (Curify serves zh and en).,HIGH
V075,艺术微喷,zh,creative_merch,collectible,艺术衍生品实物，覆盖 Creative/Merch 需求,merch,art_print,reference images of collectible items (art_print),KEEP,NEAR_DUPLICATE,P038,,Category default: creative_merch/collectible -> domain=merch. Cross-language translation pair with V076; both kept (Curify serves zh and en).,HIGH
V076,art print,en,creative_merch,collectible,艺术衍生品实物，覆盖 Creative/Merch 需求,merch,art_print,reference images of collectible items (art_print),KEEP,NEAR_DUPLICATE,P038,,Category default: creative_merch/collectible -> domain=merch. Cross-language translation pair with V075; both kept (Curify serves zh and en).,HIGH
V077,摇头公仔,zh,creative_merch,collectible,具体收藏玩具实物，视觉目标清晰,merch,bobblehead,reference images of collectible items (bobblehead),KEEP,NEAR_DUPLICATE,P039,,Category default: creative_merch/collectible -> domain=merch. Cross-language translation pair with V078; both kept (Curify serves zh and en).,HIGH
V078,bobblehead,en,creative_merch,collectible,具体收藏玩具实物，视觉目标清晰,merch,bobblehead,reference images of collectible items (bobblehead),KEEP,NEAR_DUPLICATE,P039,,Category default: creative_merch/collectible -> domain=merch. Cross-language translation pair with V077; both kept (Curify serves zh and en).,HIGH
V079,场景模型,zh,creative_merch,collectible,具体收藏模型实物，视觉目标清晰,merch,diorama,reference images of collectible items (diorama),KEEP,NEAR_DUPLICATE,P040,,Category default: creative_merch/collectible -> domain=merch. Cross-language translation pair with V080; both kept (Curify serves zh and en).,HIGH
V080,diorama,en,creative_merch,collectible,具体收藏模型实物，视觉目标清晰,merch,diorama,reference images of collectible items (diorama),KEEP,NEAR_DUPLICATE,P040,,Category default: creative_merch/collectible -> domain=merch. Cross-language translation pair with V079; both kept (Curify serves zh and en).,HIGH
V081,角色卡通贴纸,zh,creative_merch,sticker,IP角色贴纸周边实物，视觉目标清晰,merch,sticker,reference images/design examples of stickers (sticker),KEEP,NEAR_DUPLICATE,P041,,Category default: creative_merch/sticker -> domain=merch. Cross-language translation pair with V082; both kept (Curify serves zh and en).,HIGH
V082,character sticker pack,en,creative_merch,sticker,IP角色贴纸周边实物，视觉目标清晰,merch,sticker,reference images/design examples of stickers (sticker),KEEP,NEAR_DUPLICATE,P041,,Category default: creative_merch/sticker -> domain=merch. Cross-language translation pair with V081; both kept (Curify serves zh and en).,HIGH
V083,标志,zh,brand_business,logo,任务 Brand/Business 场景正面示例词,brand_logo,logo,reference images/examples of logo design (logo),KEEP,NEAR_DUPLICATE,P042,,Category default: brand_business/logo -> domain=brand_logo. Cross-language translation pair with V084; both kept (Curify serves zh and en).,HIGH
V084,logo,en,brand_business,logo,任务 Brand/Business 场景正面示例词,brand_logo,logo,reference images/examples of logo design (logo),KEEP,NEAR_DUPLICATE,P042,,Category default: brand_business/logo -> domain=brand_logo. Cross-language translation pair with V083; both kept (Curify serves zh and en).,HIGH
V085,包装,zh,brand_business,package,任务 Brand/Business 场景正面示例词,packaging,generic_packaging,reference images of product packaging design (generic_packaging),KEEP,NEAR_DUPLICATE,P043,,Category default: brand_business/package -> domain=packaging. Cross-language translation pair with V086; both kept (Curify serves zh and en).,HIGH
V086,package,en,brand_business,package,任务 Brand/Business 场景正面示例词,packaging,generic_packaging,reference images of product packaging design (generic_packaging),KEEP,NEAR_DUPLICATE,P043,,Category default: brand_business/package -> domain=packaging. Cross-language translation pair with V085; both kept (Curify serves zh and en).,HIGH
V087,标签,zh,brand_business,label,任务 Brand/Business 场景正面示例词,packaging,generic_label,reference images of product label design (generic_label),KEEP,SEMANTIC_OVERLAP,SG_label,,Category default: brand_business/label -> domain=packaging. Cross-language translation pair with V088; both kept (Curify serves zh and en).,HIGH
V088,label,en,brand_business,label,任务 Brand/Business 场景正面示例词,packaging,generic_label,reference images of product label design (generic_label),KEEP,SEMANTIC_OVERLAP,SG_label,,Category default: brand_business/label -> domain=packaging. Cross-language translation pair with V087; both kept (Curify serves zh and en).,HIGH
V089,瓶子,zh,brand_business,bottle,任务 Brand/Business 场景正面示例词,packaging,generic_bottle,reference images of bottle packaging design (generic_bottle),KEEP,NEAR_DUPLICATE,P045,,Category default: brand_business/bottle -> domain=packaging. Cross-language translation pair with V090; both kept (Curify serves zh and en).,HIGH
V090,bottle,en,brand_business,bottle,任务 Brand/Business 场景正面示例词,packaging,generic_bottle,reference images of bottle packaging design (generic_bottle),KEEP,NEAR_DUPLICATE,P045,,Category default: brand_business/bottle -> domain=packaging. Cross-language translation pair with V089; both kept (Curify serves zh and en).,HIGH
V091,菜单,zh,brand_business,menu,任务 Brand/Business 场景正面示例词,other_unmapped,restaurant_menu_design,"reference images of restaurant/cafe menu design (hospitality collateral, not core logo/brand-identity nor packaging nor ecommerce) (restaurant_menu_design)",KEEP,SEMANTIC_OVERLAP,SG_menu,,Category default: brand_business/menu -> domain=other_unmapped. Cross-language translation pair with V092; both kept (Curify serves zh and en).,HIGH
V092,menu,en,brand_business,menu,任务 Brand/Business 场景正面示例词,other_unmapped,restaurant_menu_design,"reference images of restaurant/cafe menu design (hospitality collateral, not core logo/brand-identity nor packaging nor ecommerce) (restaurant_menu_design)",KEEP,SEMANTIC_OVERLAP,SG_menu,,Category default: brand_business/menu -> domain=other_unmapped. Cross-language translation pair with V091; both kept (Curify serves zh and en).,HIGH
V093,名片,zh,brand_business,business_card,任务 Brand/Business 场景正面示例词,brand_logo,print_collateral,reference images of business card design as part of a brand identity system (print_collateral),KEEP,NEAR_DUPLICATE,P047,,Category default: brand_business/business_card -> domain=brand_logo. Cross-language translation pair with V094; both kept (Curify serves zh and en).,HIGH
