source_id,query_id,query,domain,subdomain,title,thumbnail,thumbnail_status,source_url,canonical_url,source_domain,creator_or_author,discovered_via,source_type,tags,content_understanding,source_quality_recommendation,source_quality_reason,human_review_status,access_status,source_expansion_status
merch_v014_003,V014,sticker,merch,sticker,It's giving Anye — Sticker Pack,thumbnails/merch_v014_003.jpg,AVAILABLE,https://www.behance.net/gallery/250183369/Its-giving-Anye-Sticker-Pack,https://www.behance.net/gallery/250183369/Its-giving-Anye-Sticker-Pack,behance.net,"Angie Quintero / ANYE (Bogota, Colombia)",WebSearch + Behance project-search results (sticker sheet),designer_portfolio_project,merch;sticker;character_design;digital_illustration;special_finish,"Personal-brand sticker sheet with eclectic, self-referential character illustration; creator states the final designs were produced in glitter and holographic-starry finishes, marking a stylistic evolution toward more volume/texture/depth.",B,"Named independent illustrator documenting a personal stylistic evolution with a distinctive voice; single project, Behance-only portfolio presence, stated (not verified) special-finish printing claim.",PENDING,ACCESSIBLE,NOT_TESTED
merch_v014_004,V014,sticker,merch,sticker,Personal sticker pack for messengers,thumbnails/merch_v014_004.jpg,AVAILABLE,https://www.behance.net/gallery/246494945/Personal-sticker-pack-for-messengers,https://www.behance.net/gallery/246494945/Personal-sticker-pack-for-messengers,behance.net,"Nina Shipkova (Moscow, Russian Federation)",WebSearch + Behance project-search results (sticker sheet),designer_portfolio_project,merch;sticker;character_design;messenger_app;animated_gif,Cartoon-style character sticker set designed to convey emotion/expression inside messenger apps; digital illustration with animated GIF variations across multiple poses/expressions.,B,"Named independent illustrator with a real, live deployment channel (an active Telegram sticker pack linked directly from the project), showing the work in actual end-use rather than only as a portfolio render.",PENDING,ACCESSIBLE,NOT_TESTED
merch_v014_005,V014,sticker,merch,sticker,Sexy Veggies sticker sheet,thumbnails/merch_v014_005.jpg,AVAILABLE,https://www.behance.net/gallery/190367193/Sexy-Veggies-sticker-sheet,https://www.behance.net/gallery/190367193/Sexy-Veggies-sticker-sheet,behance.net,"Carly Berry (Tallahassee, FL, USA)",WebSearch + Behance project-search results (sticker sheet),designer_portfolio_project,merch;sticker;character_design;food_theme;vintage_style;illustration,"Anthropomorphized-vegetable character sticker sheet in a vintage-inspired cartoon style, built in Illustrator; high engagement (978 appreciations, 7.7K views) and sold via the creator's own commerce site.",A,"High-engagement, distinctively-styled independent creator with a verified professional hub beyond Behance (carlyberry.design / 'it's not that weird' brand, wholesale-via-Faire, Patreon) confirming this is an established working illustrator, not a one-off portfolio piece.",PENDING,ACCESSIBLE,TESTED
ecom_v216_001,V216,influencer post,ecommerce,social_commerce_content,AI Generated UGC Style Ad | Novara Skincare,thumbnails/ecom_v216_001.jpg,AVAILABLE,https://www.behance.net/gallery/247113277/AI-Generated-UGC-Style-Ad-Novara-Skincare,https://www.behance.net/gallery/247113277/AI-Generated-UGC-Style-Ad-Novara-Skincare,behance.net,"Nancy Verma (New Delhi, India)",WebSearch + Behance project-search results (ugc style ad),designer_portfolio_project,ecommerce;social_commerce_content;ugc_style;skincare;ai_generated;social_media_post,"Static set of six AI-generated social-media ad compositions styled to look like organic user-generated content for a skincare brand (Novara), combining AI-assisted imagery with skincare branding elements across multiple mockups.",B,"Named designer with a coherent, purpose-built static UGC-style ad set for a specific named brand; single project, Behance-only presence, no independent verification of the brand relationship.",PENDING,ACCESSIBLE,NOT_TESTED
ecom_v216_002,V216,influencer post,ecommerce,social_commerce_content,从零到一，用对方法让小红书种草笔记的流量自己找上门,thumbnails/ecom_v216_002.jpg,AVAILABLE,https://www.designkit.cn/article/xiaohongshuzhongcaobiji-sheji,https://www.designkit.cn/article/xiaohongshuzhongcaobiji-sheji,designkit.cn,Meitu Design Studio (Meitu Inc.),WebSearch (station-specific Chinese query on Xiaohongshu content design),vendor_guidance_article,ecommerce;social_commerce_content;xiaohongshu;template_design;layout_ratio;content_strategy,"Vendor guidance article on designing Xiaohongshu (社交种草) posts: stresses cross-post visual/color/font consistency, category-specific template selection (beauty/fashion/home/food), and concrete layout specs (3:4 cover ratio, 1080x1440px); shows template-gallery examples across styles rather than one single worked project.",B,"Real, identifiable company (Meitu) publishing concrete, checkable design specifications (exact ratio/pixel guidance) for this exact content type; downgraded from A because it is general design-education/template-promotion content, not a single worked case with a specific before/after example.",PENDING,ACCESSIBLE,NOT_TESTED
ecom_v216_003,V216,influencer post,ecommerce,social_commerce_content,Influencer Media Kit,thumbnails/ecom_v216_003.jpg,AVAILABLE,https://www.behance.net/gallery/68508883/Influencer-Media-Kit,https://www.behance.net/gallery/68508883/Influencer-Media-Kit,behance.net,"Fallon Gerst (Tampa, FL, USA)",WebSearch + Behance project-search results (influencer media kit),designer_product_portfolio,ecommerce;social_commerce_content;media_kit;influencer_branding;template_design;typography,Bundle of 4 Photoshop media-kit template layouts for fashion/lifestyle bloggers and beauty influencers to use when pitching brand collaborations; ~12 page-layout variations shown with bold modern typography and placeholder areas for metrics/imagery.,B,"Named creator with an independently verifiable personal brand beyond Behance (own site fallontravels.com, Creative Market shop selling related digital products) confirming an established working creator, not a one-off listing; product is a template, not a single documented real campaign.",PENDING,ACCESSIBLE,TESTED
ecom_v216_004,V216,influencer post,ecommerce,social_commerce_content,UGC-Style Ad — Facial Serum | TikTok & Facebook,thumbnails/ecom_v216_004.jpg,AVAILABLE,https://www.behance.net/gallery/248753981/UGC-Style-Ad-Facial-Serum-TikTok-Facebook,https://www.behance.net/gallery/248753981/UGC-Style-Ad-Facial-Serum-TikTok-Facebook,behance.net,"gabriel queiroz (Sao Paulo, Brazil)",WebSearch + Behance project-search results (ugc style ad),designer_portfolio_project,ecommerce;social_commerce_content;ugc_style;video_ad;skincare,"Short-form video advertisement for a facial serum, edited for native TikTok/Facebook feed appearance using animated captions and dynamic cuts; page content does not describe specific static frame composition, palette, or layout in detail.",C,"Genuine named creator and real UGC-style ad format matching the query intent, but page provides minimal extractable visual/compositional detail (only production software is listed) and no static imagery description, limiting content-understanding confidence relative to the other 3 candidates.",PENDING,ACCESSIBLE,NOT_TESTED
edu_v248_001,V248,flashcard,education,flashcard_generic,My First Vehicles Flashcards – 20 Printable 3D Cartoon,thumbnails/edu_v248_001.jpg,AVAILABLE,https://www.behance.net/gallery/228273137/My-First-Vehicles-Flashcards-20-Printable-3D-Cartoon,https://www.behance.net/gallery/228273137/My-First-Vehicles-Flashcards-20-Printable-3D-Cartoon,behance.net,"Creative Bayte (Agadir, Morocco)",WebSearch + Behance project-search results (flashcards design),designer_product_portfolio,education;flashcard;vehicle_theme;3d_cartoon_style;printable;early_learning,"Set of 20 printable flashcards with vibrant 3D cartoon vehicle illustrations (fire truck, school bus, police car, airplane, boat) aimed at ages 2-5; formatted as US-Letter PDFs for home/professional printing.",B,"Named designer/studio with a real commercial sales channel (linked Etsy listing) and a concrete, age-targeted product spec (print format, size); single product line, exact Etsy shop not independently re-verified.",PENDING,ACCESSIBLE,TESTED
edu_v248_002,V248,flashcard,education,flashcard_generic,Animals Flashcard Design,thumbnails/edu_v248_002.jpg,AVAILABLE,https://www.behance.net/gallery/225981187/Animals-Flashcard-Design,https://www.behance.net/gallery/225981187/Animals-Flashcard-Design,behance.net,YB Digital Atelier (USA),WebSearch + Behance project-search results (flashcards design),designer_product_portfolio,education;flashcard;animal_theme;cartoon_style;montessori;preschool,"Cartoon animal flashcard set with simplified, child-friendly illustrations against light backgrounds, consistent composition across cards, tagged for preschool/homeschool/Montessori use.",B,"Named studio with a real commercial sales channel (linked Etsy shop); clean, consistent card-to-card visual system suited to the education domain's flashcard sub-intent; single product line.",PENDING,ACCESSIBLE,NOT_TESTED
edu_v248_003,V248,flashcard,education,flashcard_generic,Kids Alphabet and Number Cartoon Flash Card Design,thumbnails/edu_v248_003.jpg,AVAILABLE,https://www.behance.net/gallery/155261851/Kids-Alphabet-and-Number-Cartoon-Flash-Card-Design,https://www.behance.net/gallery/155261851/Kids-Alphabet-and-Number-Cartoon-Flash-Card-Design,behance.net,Anagata Art (Indonesia),WebSearch + Behance project-search results (flashcards design),designer_portfolio_project,education;flashcard;alphabet;numbers;cartoon_style,"Cartoon-style alphabet-letter and number flashcards for children, playful age-appropriate illustration style.",B,"Named independent illustrator with a clear specialty in this exact sub-intent (alphabet/number flashcards); single project, contact via email only, no verified external shop/site.",PENDING,ACCESSIBLE,NOT_TESTED
edu_v248_004,V248,flashcard,education,flashcard_generic,Color Flashcard Design,thumbnails/edu_v248_004.jpg,AVAILABLE,https://www.behance.net/gallery/206490159/Color-Flashcard-Design,https://www.behance.net/gallery/206490159/Color-Flashcard-Design,behance.net,"Rakibul Hasan (Dhaka, Bangladesh)",WebSearch + Behance project-search results (flashcards design),designer_portfolio_project,education;flashcard;color_recognition;grid_layout,"Color-recognition flashcard set with bright, vibrant hues intended to teach color vocabulary to young learners; multiple card designs presented in a grid layout.",B,"Named independent designer covering a distinct flashcard sub-concept (color recognition, vs. animals/alphabet/vehicles in the other candidates); single project, Behance-only presence.",PENDING,ACCESSIBLE,NOT_TESTED
brand_v084_001,V084,logo,brand_logo,logo,Uncle Joe's Branding Case Study,thumbnails/brand_v084_001.jpg,AVAILABLE,https://www.behance.net/gallery/223081363/Uncle-Joes-Branding-Case-Study,https://www.behance.net/gallery/223081363/Uncle-Joes-Branding-Case-Study,behance.net,"Shmart Studio (Istanbul, Turkey)",WebSearch + Behance project-search results (logo case study),studio_portfolio_project,brand_logo;logo;emblem;vintage_style;typography;food_branding,"Full visual-identity redesign for a pizzeria brand centered on an engraving-style portrait mark, plus a monogram for small applications and an iconic badge for packaging; bold serif paired with elegant script typography in a vintage, heritage-craftsmanship style.",A,"Pro-level studio with a multi-lockup logo system (portrait mark, monogram, badge) demonstrating real applied logo-system thinking rather than a single static mark, plus an external Linktree confirming an active professional presence beyond Behance.",PENDING,ACCESSIBLE,NOT_TESTED
brand_v084_002,V084,logo,brand_logo,logo,Goufoo Case study | Agriculture Brand identity 2023,thumbnails/brand_v084_002.jpg,AVAILABLE,https://www.behance.net/gallery/165211261/Goufoo-Case-study-Agriculture-Brand-identity-2023,https://www.behance.net/gallery/165211261/Goufoo-Case-study-Agriculture-Brand-identity-2023,behance.net,"Rihan Art (Dhaka, Bangladesh)",WebSearch + Behance project-search results (logo case study),designer_portfolio_project,brand_logo;logo;agriculture;organic_style;typography;brand_guidelines,"Complete identity system for an agriculture/organic-food brand: modern, nature-inspired logo mark, clean typography, earthy color palette, shown alongside brand-guideline pages and marketing-material applications.",A,"High engagement (39.7K views, 1.5K appreciations, 161 comments) with verified multi-platform social presence (LinkedIn, Instagram, Dribbble, Facebook) confirming an established working designer beyond a single portfolio listing.",PENDING,ACCESSIBLE,NOT_TESTED
brand_v084_003,V084,logo,brand_logo,logo,Design Monks - UX/UI Agency Brand Identity & Logo Design,thumbnails/brand_v084_003.jpg,AVAILABLE,https://www.behance.net/gallery/236620489/Design-Monks-UXUI-Agency-Brand-Identity-Logo-Design,https://www.behance.net/gallery/236620489/Design-Monks-UXUI-Agency-Brand-Identity-Logo-Design,behance.net,"Design Monks (agency; Atiqur Rahaman and Abdullah Al Noman, Dhaka, Bangladesh)",WebSearch + Behance project-search results (logo case study),agency_self_branding_project,brand_logo;logo;agency_self_brand;minimalism;typography;geometric_mark,"Agency's own self-branding identity system: minimalist geometric logo mark, balanced typography, restrained color palette stated to convey 'calm confidence,' applied across agency website and landing-page materials.",A,"Real, independently verified, fully operational multi-office agency (designmonks.co, 200+ claimed clients, named case studies for named clients, 4.9-star rating) — the strongest independently-confirmed professional presence of any V084 candidate.",PENDING,ACCESSIBLE,TESTED
brand_v084_004,V084,logo,brand_logo,logo,Zendo | SaaS Productivity Branding Case Study,thumbnails/brand_v084_004.jpg,AVAILABLE,https://www.behance.net/gallery/246708321/Zendo-SaaS-Productivity-Branding-Case-Study,https://www.behance.net/gallery/246708321/Zendo-SaaS-Productivity-Branding-Case-Study,behance.net,"Habib Munshi (Budapest, Hungary) with HAS Branding Agency (Melbourne, Australia)",WebSearch + Behance project-search results (logo case study),designer_agency_collab_project,brand_logo;logo;saas;isotype;visual_identity;task_management,"Brand identity for a fictional/conceptual SaaS task-management platform, including logo, isotype elements, and a structured visual-identity system across multiple project modules/collateral.",B,"Named individual designer in collaboration with a named agency (HAS Branding Agency), decent engagement (635 appreciations, 8.2K views); no external site beyond respective Behance profiles was found in this page.",PENDING,ACCESSIBLE,NOT_TESTED
brand_v084_005,V084,logo,brand_logo,logo,SkyRuote Logo case study and Stationary Design,thumbnails/brand_v084_005.jpg,AVAILABLE,https://www.behance.net/gallery/244591329/SkyRuote-Logo-case-study-and-Stationary-Design,https://www.behance.net/gallery/244591329/SkyRuote-Logo-case-study-and-Stationary-Design,behance.net,"Robin Hossen (Dhaka, Bangladesh)",WebSearch + Behance project-search results (logo case study),designer_portfolio_project,brand_logo;logo;aviation;stationery;grid_construction;typography,"Aviation-sector brand identity ('speed, direction, reliability') including a dynamic logo symbol, stated grid/construction structure, and stationery-application mockups demonstrating brand consistency across formats.",B,"Named designer with independently listed LinkedIn presence; shows logo construction/grid documentation (some process visibility) plus a real secondary application (stationery), directly bridging this query with the V094 business-card sub-intent.",PENDING,ACCESSIBLE,NOT_TESTED
edu_v260_001,V260,certificate,education,certificate_generic,Certificate & Formal Document Design 2024/2025,thumbnails/edu_v260_001.jpg,AVAILABLE,https://www.behance.net/gallery/239433419/Certificate-Formal-Document-Design-20242025,https://www.behance.net/gallery/239433419/Certificate-Formal-Document-Design-20242025,behance.net,"Yakoub Matmour (Annaba, Algeria)",WebSearch + Behance project-search results (certificate design),designer_portfolio_project,education;certificate;formal_document;typography;minimal_layout,"Collection of certificate/formal-document templates for events and academic purposes, described by the creator as emphasizing clean layouts, balanced typography, and clear hierarchy for both digital and print use.",B,"Named independent designer with a coherent, recently-published (2024/2025) multi-certificate portfolio piece; single Behance-only presence, page does not specify exact achievement type (completion/graduation/award) per certificate.",PENDING,ACCESSIBLE,NOT_TESTED
edu_v260_002,V260,certificate,education,certificate_generic,Certificate Design as a Brand Touchpoint,thumbnails/edu_v260_002.jpg,AVAILABLE,https://www.behance.net/gallery/242821429/Certificate-Design-as-a-Brand-Touchpoint,https://www.behance.net/gallery/242821429/Certificate-Design-as-a-Brand-Touchpoint,behance.net,Anastasiia Kotomkina (Ukraine),WebSearch + Behance profile listing (thekotomkina),designer_portfolio_project,education;certificate;course_completion;brand_touchpoint;minimal_design;typography,"Certificate designs framed explicitly as course-completion brand touchpoints intended to build trust and positive recipient sentiment; stated minimalist, refined typography with a 'calm, confident visual language.'",A,Named designer with a broader active portfolio (6+ branding projects on profile) and a distinctive point of view (certificate-as-brand-touchpoint) rather than a generic template; linked external site could not be independently verified in this session (see expansion notes).,PENDING,ACCESSIBLE,TESTED
edu_v260_003,V260,certificate,education,certificate_generic,Certificate of Completion (Course Certificate),thumbnails/edu_v260_003.jpg,AVAILABLE,https://www.behance.net/gallery/242784499/Certificate-of-Completion-(Course-Certificate),https://www.behance.net/gallery/242784499/Certificate-of-Completion-(Course-Certificate),behance.net,"Sehar Raza (Islamabad, Pakistan)",WebSearch + Behance project-search results (certificate of completion),designer_portfolio_project,education;certificate;course_completion;achievement;template_design,Course-completion certificate template demonstrating achievement-recognition design conventions; built in Illustrator/Photoshop.,B,"Named independent designer with moderate engagement (1,616 views); single generic template project without a named real course/institution attached.",PENDING,ACCESSIBLE,NOT_TESTED
edu_v260_004,V260,certificate,education,certificate_generic,AI Fluency for Students – Certificate of Completion,thumbnails/edu_v260_004.jpg,AVAILABLE,https://www.behance.net/gallery/252742691/AI-Fluency-for-Students-Certificate-of-Completion,https://www.behance.net/gallery/252742691/AI-Fluency-for-Students-Certificate-of-Completion,behance.net,"Dhruv Desai (Surat, India) — recipient, not the certificate's designer",WebSearch + Behance project-search results (certificate of completion),recipient_shared_real_credential,education;certificate;course_completion;ai_literacy;real_institution,"An actual issued certificate of completion for 'AI Fluency for Students,' a real named program from Anthropic covering AI fundamentals, prompt engineering, ethical AI use, and productivity applications; posted by the student who earned it, not by its original designer.",B,"Genuine real-world certificate artifact from a well-known, verifiable issuing organization (Anthropic) rather than a speculative freelance template — strong authenticity on the issuer side; downgraded from A because this is a recipient's repost of their own credential, not a design case study with process/rationale from the certificate's actual designer.",PENDING,ACCESSIBLE,NOT_TESTED
brand_v094_001,V094,business card,brand_logo,print_collateral,Corporate Branding Stationery,thumbnails/brand_v094_001.jpg,AVAILABLE,https://www.behance.net/gallery/66506709/Corporate-Branding-Stationery,https://www.behance.net/gallery/66506709/Corporate-Branding-Stationery,behance.net,"Jahan Ullah (Dhaka, Bangladesh)",WebSearch + Behance project-search results (business card/stationery),designer_product_portfolio,brand_logo;print_collateral;business_card;letterhead;envelope;stationery_system,"8-piece corporate stationery template system (business cards, letterheads, invoices, presentation folders, DL/C4 envelopes, compliment slips, CD/DVD case+labels) shown as coordinated mockups with consistent typography/color, sold as customizable source files on GraphicRiver.",B,"Named designer with verified external presence (Dribbble, Instagram, GraphicRiver commerce listing); comprehensive stationery system but a generic customizable template, not a real specific client project.",PENDING,ACCESSIBLE,NOT_TESTED
brand_v094_002,V094,business card,brand_logo,print_collateral,Letterpress Business Cards,thumbnails/brand_v094_002.jpg,AVAILABLE,https://www.behance.net/gallery/12278583/Letterpress-Business-Cards,https://www.behance.net/gallery/12278583/Letterpress-Business-Cards,behance.net,"Deb Pang Davis (Minneapolis, MN, USA)",WebSearch + Behance project-search results (letterpress business card),designer_portfolio_project,brand_logo;print_collateral;business_card;letterpress;kraft_paper;production_technique,"Custom letterpress business cards for a named real client (Jason Monfort, a Portland, Oregon wood designer), using kraft paper stock and varnish finish -- concrete stated production technique and material detail.",A,"Real named individual client tied to a specific craft (wood design) with explicit production-technique and material detail (letterpress, kraft paper, varnish) rather than a generic template; directly useful for professional-constraint / production-method reference.",PENDING,ACCESSIBLE,NOT_TESTED
