category,query_id,search_query,query_pattern,entity_or_topic_type,visual_content_type,reason_for_selection,expected_competitor_page_type,expected_professional_modules,research_status,generation_method,legacy_overlap_status,human_review_status
Education,EDU-05,kindergarten sight words chart,level + topic + visual format,kindergarten sight words,chart,"Early-literacy charts are a heavily searched, very concrete teacher/parent resource type distinct from worksheets",early-childhood teacher-resource site,"word list grid, illustration per word, progress tracker, printable format note",NOT_STARTED,blind_independent_generation,NEW_DIRECTION,PENDING
Education,EDU-06,human body diagram worksheet,topic + visual format,human body / basic anatomy,diagram worksheet,Labeled-diagram worksheets combine illustration with fill-in-the-blank pedagogy — a distinct professional format worth studying separately,science teacher-resource or homeschool curriculum site,"labeled diagram image, blank-label practice version, answer key, grade-level tag",NOT_STARTED,blind_independent_generation,PARTIAL_SEMANTIC_OVERLAP,PENDING
Merch,MERCH-01,yellowstone national park sticker,place/theme + product type,Yellowstone National Park,sticker,Place-themed stickers are a huge dedicated niche within print-on-demand — a good concrete anchor for studying that page type,print-on-demand/Etsy-style product page or park gift shop,"product image gallery, design description, material/size options, related park-design suggestions",NOT_STARTED,blind_independent_generation,PARTIAL_SEMANTIC_OVERLAP,PENDING
Merch,MERCH-02,coffee lover enamel pin,theme/audience + product type,coffee-enthusiast niche,enamel pin (product photo),Niche-affinity items like enamel pins have a distinctive professional product-page structure worth comparing to stickers/magnets,niche merch shop or Etsy-style product page,"multi-angle product photos, size/material specs, packaging note, related niche items",NOT_STARTED,blind_independent_generation,NEW_DIRECTION,PENDING
Merch,MERCH-03,retro band tour t-shirt mockup,theme + product + visual format,retro band-tour aesthetic,mockup,"Apparel mockups reveal how professional pages present a design-on-product preview before purchase, distinct from finished product photos",print-on-demand apparel or mockup template site,"mockup preview on model/flat-lay, color/size variant switcher, design-placement notes",NOT_STARTED,blind_independent_generation,NEW_DIRECTION,PENDING
Merch,MERCH-04,funny cat sticker pack,theme + product type,humorous cat illustrations,sticker pack,"Humor/pet-niche sticker packs are an extremely high-volume, concrete merch search pattern",sticker shop or POD marketplace listing,"sticker sheet preview image, individual sticker thumbnails, material/finish description, bundle pricing tiers",NOT_STARTED,blind_independent_generation,PARTIAL_SEMANTIC_OVERLAP,PENDING
Merch,MERCH-05,custom pet portrait magnet,theme (custom) + product type,pet-portrait customization,magnet (product photo),"Personalized merch pages surface upload-and-preview modules distinct from static-design pages, worth studying separately",custom gift/personalization shop,"before/after preview, upload-photo tool description, size options, customer photo examples",NOT_STARTED,blind_independent_generation,PARTIAL_SEMANTIC_OVERLAP,PENDING
Merch,MERCH-06,wedding favor sticker,theme/occasion + product type,wedding favors,sticker,Occasion-based bulk/custom merch (weddings) has a distinct professional page structure around quantity and personalization,event/wedding-favor supplier product page,"bulk quantity/pricing tiers, customization form preview, material/finish options, customer review photos",NOT_STARTED,blind_independent_generation,PARTIAL_SEMANTIC_OVERLAP,PENDING
Ecommerce,ECOM-01,matte black skincare bottle product photo,visual attribute + product + visual format,"skincare bottle, matte black finish",product photo,Attribute-specific product photography queries reveal professional studio-shot conventions for a specific finish/material,product photography portfolio or brand e-commerce listing,"hero shot, multi-angle gallery, texture/finish close-up, lighting/background notes",NOT_STARTED,blind_independent_generation,PARTIAL_SEMANTIC_OVERLAP,PENDING
Ecommerce,ECOM-02,amazon product infographic,platform + product infographic,Amazon listing content,infographic,"Platform-specific infographic queries target pages built around A+ content-style modules, core to the ecommerce-content vertical",ecommerce content agency portfolio or listing-optimization service page,"feature-callout infographic examples, before/after listing comparison, module breakdown (lifestyle shot, comparison chart, spec sheet)",NOT_STARTED,blind_independent_generation,PARTIAL_SEMANTIC_OVERLAP,PENDING
Ecommerce,ECOM-03,sneaker packaging design,product category + visual format,sneakers,packaging design,Packaging design is a concrete visual-content category with its own dedicated professional showcase pages,packaging design studio portfolio or brand product page,"packaging mockup gallery, material/print finish notes, unboxing sequence images, brand story tie-in",NOT_STARTED,blind_independent_generation,NEW_DIRECTION,PENDING
Ecommerce,ECOM-04,minimalist skincare packaging mockup,attribute + product + visual format,minimalist-style skincare packaging,mockup,Style-specific packaging mockups show how professional pages pair an aesthetic descriptor with product presentation,packaging mockup template marketplace or design studio site,"mockup preview set, color/material variant options, downloadable template note, style tag list",NOT_STARTED,blind_independent_generation,NEW_DIRECTION,PENDING
Ecommerce,ECOM-05,floating product photo white background,visual attribute + product photo,levitation/floating product photography technique,product photo,Technique-specific queries surface pages demonstrating a distinct professional photography style/module rather than a generic product shot,product photography service or stock image site,"example image gallery, technique explanation caption, before/after comparison, style tag list",NOT_STARTED,blind_independent_generation,PARTIAL_SEMANTIC_OVERLAP,PENDING
Ecommerce,ECOM-06,coffee bag packaging mockup,product category + visual format,coffee bag packaging,mockup,A category-specific packaging mockup query gives a second more product-narrow comparison point to the skincare mockup query,packaging mockup marketplace or coffee brand product page,"mockup preview across bag styles, label design close-up, material/finish specs, brand variant gallery",NOT_STARTED,blind_independent_generation,NEW_DIRECTION,PENDING
