category,query_id,search_query,organic_rank,result_title,result_url,curify_rank_observed,selected,page_notes
Education,EDU_05,kindergarten sight words chart,2,Sight Words Chart Kindergarten,https://www.pinterest.com/ideas/sight-words-chart-kindergarten/907914579094/,not found in first 5 pages,PENDING,Pinterest 的幼儿园 sight words 图表集合页。页面包含主题标题、简短介绍、大量 sight words chart 图片、相似内容推荐和相关 boards，适合观察词表分组、颜色编码、课堂海报和儿童化排版。但缺少明确的学习目标、年级标准、教学方法、使用说明和可打印资源规格，因此更适合作为视觉参考，不纳入 Education 垂类的专业页面 Pattern 样本。
Education,EDU_06,human body diagram worksheet,4,Customize 98+ Body Parts Worksheets Templates Online,https://www.canva.com/worksheets/templates/body-parts/,not found in first 5 pages,PENDING,Canva 的人体部位 worksheet 模板集合页。页面包含面包屑、明确的 H1、搜索与筛选入口，以及大规模模板网格，覆盖身体部位识别、器官、五感、词汇匹配、填空、标注和身体功能等题型。适合作为教育模板分类、视觉呈现和创作入口的参考样本，但缺少年级、学习目标、难度、教学说明和资源包含内容等专业教育模块。
Merch,MER_01,yellowstone national park sticker,1,Yellowstone National Park Triple Decal,https://shop.americasnationalparks.org/products/yellowstone-national-park-triple-decal-1?srsltid=AfmBOop69JZFgFMBJw-S0UfReC8Jr-wiAJimNwIaXdWdhlLaOIZhGxbF,not found in first 5 pages,PENDING,America’s National Parks 的 Yellowstone 贴纸商品详情页。页面包含商品标题、评分与评论、价格、库存状态、数量选择、购买 CTA、Yellowstone 国家公园及 “YELL” 缩写的背景说明、尺寸规格、Made in USA 信息、公益支持与官方合作背书、相关国家公园贴纸推荐和顾客评论。适合作为文创商品详情页样本，专业性体现在“文化背景 + 产品规格 + 品牌/公益信任信息 + 相关产品内链”的组合。Curify 当前缺少这类文化故事、生产规格、信任信号和相关推荐模块。
Merch,MER_02,coffee lover enamel pin design,2,Coffee Pins,https://www.pinterest.com/ideas/coffee-pins/911657397722/,not found in first 5 pages,PENDING,Pinterest 的咖啡主题徽章和 enamel pin 图片集合页。页面包含主题标题、简短介绍、大量咖啡图案、文字标语、杯子和咖啡豆等视觉设计，以及相似内容和相关 boards，适合观察文创图案、配色和产品主题方向。但缺少材料、尺寸、珐琅工艺、生产要求、文化背景和商品规格等专业文创内容，因此只作为视觉灵感参考，不纳入 Merch 垂类的专业页面 Pattern 样本。
Merch,MER_03,retro band tour t-shirt mockup,3,Band t-shirt mockup Images – Free Download on ...,https://www.magnific.com/free-photos-vectors/band-tshirt-mockup,not found in first 5 pages,PENDING,页面主要是瀑布流图片集合，包含乐队 T 恤、普通服装照片、图标及多项无关素材，搜索相关性和内容组织较弱。缺少明确分类、产品规格、材质、印刷工艺、mockup 使用说明和专业内容模块，不适合作为 Merch 垂类页面 Pattern 样本。
Merch,MER_04,funny cat sticker pack,1,Funny Cats - Sticker Maker,https://getstickerpack.com/stickers/funny-cats,not found in first 5 pages,PENDING,Get Sticker Pack 的 Funny Cats 数字贴纸包详情页。页面包含作者与主题标题、安装贴纸 CTA、下载量、完整贴纸预览网格、版权归属、作者的其他作品、相关贴纸包和关键词入口。页面结构清晰，适合作为数字 sticker pack 的详情页样本，专业性主要体现在“整套素材预览 + 作者信息 + 使用入口 + 热度信号 + 相关推荐”。但页面缺少材质、尺寸、印刷工艺等实体商品规格，因此更适合参考数字贴纸包的内容组织，而不是实体文创生产信息。
Merch,MER_05,custom pet portrait magnet,1,Custom Pet Magnet,https://www.etsy.com/market/custom_pet_magnet,not found in first 5 pages,PENDING,Etsy 的定制宠物磁贴商品集合页。页面包含明确的主题标题、结果数量、个性化/价格/配送筛选、排序，以及大量商品卡片；每张卡片展示产品预览、定制风格、价格、折扣、评分、评价数量和配送信息。适合作为个性化文创商品发现与视觉展示的代表样本，可参考其筛选体系、商品卡片信息密度和多风格呈现。但页面缺少统一的材质、尺寸、制作工艺和文件要求说明，因此更适合参考 marketplace/category page 结构，不宜作为实体文创专业规格页的唯一样本。
Merch,MER_06,wedding favor sticker,1,Wedding Favor Stickers,https://www.etsy.com/market/wedding_favor_stickers,not found in first 5 pages,PENDING,Etsy 的 wedding favor sticker 商品集合页。页面包含明确的 H1、结果数量、个性化/价格/配送筛选、排序，以及大量商品卡片；商品覆盖姓名与日期定制、花卉、金箔、透明、标签和感谢语等多种风格，并展示价格、折扣、评分、评价数量和配送信息。适合作为婚礼定制文创商品发现和多风格展示的代表样本，可参考其筛选体系、个性化属性和商品卡片结构；但缺少统一的材质、尺寸、印刷工艺和文件规格说明。
Ecommerce,ECO_01,matte black skincare bottle product photo,1,Luxury skincare bottle on black background,https://www.pinterest.com/ideas/luxury-skincare-bottle-on-black-background/961058867474/,not found in first 5 pages,PENDING,Pinterest 的黑色护肤品瓶视觉集合页。页面包含大量哑光黑色包装、泵瓶、滴管瓶、香水瓶及深色背景产品图，适合观察高端护肤品的构图、灯光、材质表现和配色。但页面主要是图片瀑布流，缺少平台要求、图片尺寸、拍摄规范、转化作用、产品卖点和图片序列等专业电商内容，因此仅作为视觉参考，不纳入 Ecommerce 垂类的专业页面 Pattern 样本。
Ecommerce,ECO_02,amazon product infographic,3,Amazon infographic design,https://www.pinterest.com/ideas/amazon-infographic-design/920476121875/,not found in first 5 pages,PENDING,Pinterest 的 Amazon 商品信息图集合页。页面包含大量产品卖点图、对比图、使用场景图和 A+ Content 设计，可用于观察电商信息图的版式、配色、信息层级和视觉表达。但页面主要为图片瀑布流和相关内容推荐，缺少 Amazon 平台规范、图片尺寸、设计原则、转化作用和制作流程等专业内容，因此仅作为视觉参考，不纳入 Ecommerce 垂类的专业页面 Pattern 样本。
Ecommerce,ECO_03,sneaker packaging design,1,Sneaker packaging design,https://www.pinterest.com/ideas/sneaker-packaging-design/936371559034/,not found in first 5 pages,PENDING,Pinterest 的球鞋包装设计集合页。页面包含主题标题、简短介绍、大量鞋盒结构、品牌包装、礼盒和创意开箱设计，以及相似内容和相关 boards，适合观察包装造型、配色、品牌视觉和展示方式。但缺少材料规格、尺寸、生产工艺、刀模文件、成本说明和电商转化用途等专业模块，因此仅作为视觉参考，不纳入 Ecommerce 垂类的专业页面 Pattern 样本。
Ecommerce,ECO_04,minimalist skincare packaging mockup,1,Modern minimalist skincare packaging mockup Photos,https://www.magnific.com/photos/modern-minimalist-skincare-packaging-mockup,not found in first 5 pages,PENDING,Magnific 的极简护肤品包装 mockup 图片集合页。页面展示大量泵瓶、滴管瓶、软管、罐装及纸盒包装，覆盖白色、黑色和中性色背景，可用于观察极简构图、材质表现、阴影和产品摆放方式。但页面主要是图片瀑布流，缺少包装规格、平台图片要求、设计原则、转化用途、制作流程和专业说明，因此仅作为视觉参考，不纳入 Ecommerce 垂类的专业页面 Pattern 样本。
Ecommerce,ECO_05,floating product photo white background,3,Floating product photography Images – Free Download on ...,https://www.magnific.com/free-photos-vectors/floating-product-photography,not found in first 5 pages,PENDING,Magnific 的悬浮产品摄影图片集合页。页面展示大量悬浮物体、展台陈列、彩色背景和极简产品构图，适合观察悬浮效果、阴影、背景配色和商品摆放方式。但页面主要是图片瀑布流，且部分素材与白底电商产品图关联较弱，缺少拍摄参数、平台规范、图片尺寸、制作流程和转化用途等专业模块，因此仅作为视觉参考，不纳入 Ecommerce 垂类的专业页面 Pattern 样本。
Ecommerce,ECO_06,coffee bag packaging mockup,1,Coffee Bag Template Images,https://stock.adobe.com/search?k=coffee+bag+template,not found in first 5 pages,PENDING,Adobe Stock 的咖啡袋包装模板/素材结果页，集中展示大量咖啡袋 mockup、白底包装、立袋/侧封袋/扁袋等不同袋型，以及黑白牛皮纸等常见包装风格。适合参考包装外形、展示角度、材质质感和常见视觉风格，但页面本质上是素材库结果页，缺少品牌策略、包装结构说明、印刷工艺、卖点模块和完整电商/品牌内容框架，因此更适合作为视觉参考，不建议作为 Ecommerce 垂类的核心深度分析样本。
