Page,Clicks,Impressions,CTR,Position
https://www.curify-ai.com/nano-banana-pro-prompts/847,3,22,13.64%,6.2
https://www.curify-ai.com/nano-template/mbti-nba/example/template-mbti-nba-jude,3,355,0.85%,5.8
https://www.curify-ai.com/ru/blog/ai-youtube-video-translator,3,105,2.86%,9.2
https://www.curify-ai.com/ru/tools/bilingual-subtitles,3,21,14.29%,8.3
https://www.curify-ai.com/ru/topics/personality,3,163,1.84%,11.1
https://www.curify-ai.com/tools,3,86,3.49%,3.3
https://www.curify-ai.com/zh/blog/character-prompt-generator,3,162,1.85%,9.4
https://www.curify-ai.com/zh/blog/creative-ai-tools-websites,3,59,5.08%,10.8
https://www.curify-ai.com/zh/nano-template/education-card,3,38,7.89%,7.0
https://www.curify-ai.com/zh/tools/bilingual-subtitles,3,59,5.08%,28.3
https://www.curify-ai.com/blog/ai-youtube-video-translator,2,114,1.75%,12.9
https://www.curify-ai.com/blog/chinese-costume-history-infographic,2,97,2.06%,9.8
https://www.curify-ai.com/blog/series-infographic-vs-notebooklm,2,36,5.56%,8.4
https://www.curify-ai.com/de/tools/bilingual-subtitles,2,8,25.00%,4.3
https://www.curify-ai.com/en/nano-template/all-sports-tournament-schedule-infographic?tournament_info=fifa+world+cup+2026+group+draw+poster,2,140,1.43%,9.6
https://www.curify-ai.com/es/nano-template/world-cup-team-sticker-poster/example/template-world-cup-team-sticker-poster-portugal,2,27,7.41%,7.2
https://www.curify-ai.com/es/topics/mbti,2,11,18.18%,5.4
https://www.curify-ai.com/fr/tools/video-enhance,2,11,18.18%,9.5
https://www.curify-ai.com/ja/blog/bilingual-ai-flashcards-early-childhood-education,2,3,66.67%,7.0
https://www.curify-ai.com/ja/blog/lip-sync-business-guide,2,19,10.53%,13.9
https://www.curify-ai.com/ja/nano-banana-pro-prompts/tag/women,2,21,9.52%,9.0
https://www.curify-ai.com/ko/blog/10-prompting-tips-nano-banana,2,50,4.00%,8.6
https://www.curify-ai.com/ko/nano-banana-pro-prompts/tag/architecture,2,17,11.76%,10.9
https://www.curify-ai.com/ko/topics/animal,2,48,4.17%,11.4
https://www.curify-ai.com/ko/topics/egypt,2,7,28.57%,6.3
https://www.curify-ai.com/nano-banana-pro-prompts/1723,2,11,18.18%,7.3
https://www.curify-ai.com/nano-banana-pro-prompts/1816,2,10,20.00%,6.5
https://www.curify-ai.com/nano-banana-pro-prompts/2119,2,4,50.00%,6.8
https://www.curify-ai.com/nano-banana-pro-prompts/3252,2,35,5.71%,11.3
https://www.curify-ai.com/nano-banana-pro-prompts/940,2,26,7.69%,5.0
https://www.curify-ai.com/nano-banana-pro-prompts/tag/luxury,2,3,66.67%,6.3
https://www.curify-ai.com/nano-banana-pro-prompts/tag/natural%20beauty,2,6,33.33%,9.7
https://www.curify-ai.com/nano-banana-pro-prompts/tag/summer,2,8,25.00%,8.0
https://www.curify-ai.com/nano-template/celebrity-movie-group-poster/example/template-celebrity-movie-group-poster-argentina-2026-world-cup-squad,2,119,1.68%,3.7
https://www.curify-ai.com/nano-template/celebrity-movie-group-poster/example/template-celebrity-movie-group-poster-morocco-2026-world-cup-squad,2,62,3.23%,7.4
https://www.curify-ai.com/nano-template/character-analysis,2,32,6.25%,9.4
https://www.curify-ai.com/nano-template/character/example/template-character-kaito-kid,2,61,3.28%,10.8
https://www.curify-ai.com/nano-template/english-grammar-wordlist-infographic/example/template-english-grammar-wordlist-infographic-20-common-homophones-2,2,6,33.33%,6.7
https://www.curify-ai.com/nano-template/food-product-packaging-design,2,8,25.00%,4.5
https://www.curify-ai.com/nano-template/mbti-generic,2,34,5.88%,7.1
https://www.curify-ai.com/nano-template/mbti-marvel/example/template-mbti-marvel-hyperion,2,9,22.22%,15.6
https://www.curify-ai.com/nano-template/mbti-siliconvalley/example/template-mbti-siliconvalley-darioamodei,2,76,2.63%,5.0
https://www.curify-ai.com/nano-template/mbti-yellowstone/example/template-mbti-yellowstone-ripwheeler,2,141,1.42%,6.8
https://www.curify-ai.com/nano-template/premium-recipe-card-infographic/example/template-premium-recipe-card-infographic-coq-au-vin,2,5,40.00%,3.2
https://www.curify-ai.com/nano-template/series-infographic/example/template-series-infographic-problem-solvers-02,2,8,25.00%,4.4
https://www.curify-ai.com/nano-template/sports-battle,2,26,7.69%,5.5
https://www.curify-ai.com/nano-template/world-cup-team-sticker-poster/example/template-world-cup-team-sticker-poster-england,2,21,9.52%,8.1
https://www.curify-ai.com/nano-template/world-cup-team-sticker-poster/example/template-world-cup-team-sticker-poster-france,2,22,9.09%,12.8
https://www.curify-ai.com/nano-template/world-cup-team-sticker-poster/example/template-world-cup-team-sticker-poster-germany,2,34,5.88%,9.4
https://www.curify-ai.com/nano-template/world-cup-team-sticker-poster/example/template-world-cup-team-sticker-poster-morocco,2,71,2.82%,8.2
https://www.curify-ai.com/ru/blog/asl-video-translator,2,11,18.18%,6.1
https://www.curify-ai.com/ru/nano-banana-pro-prompts/812,2,5,40.00%,8.8
https://www.curify-ai.com/tr/tools/manga-translation,2,128,1.56%,9.9
https://www.curify-ai.com/zh/blog/asl-video-translator,2,3,66.67%,11.3
https://www.curify-ai.com/zh/blog/mbti-character-generator,2,89,2.25%,15.3
https://www.curify-ai.com/zh/blog/translate-youtube-video-to-english,2,70,2.86%,9.3
https://www.curify-ai.com/zh/nano-template/fashion-ecommerce,2,7,28.57%,8.0
https://www.curify-ai.com/zh/nano-template/mbti-nba/example/template-mbti-nba-erling-haaland,2,62,3.23%,7.5
https://www.curify-ai.com/zh/nano-template/travel/example/template-travel-osaka,2,26,7.69%,6.1
https://www.curify-ai.com/zh/nano-template/world-cup-team-sticker-poster/example/template-world-cup-team-sticker-poster-germany,2,2,100.00%,3.5
https://curify-ai.com/ru/nano-banana-pro-prompts/3615,1,1,100.00%,6.0
https://www.curify-ai.com/blog/ai-die-cut-sticker-design,1,81,1.23%,9.6
https://www.curify-ai.com/blog/image-generation-model-comparison,1,3179,0.03%,12.9
https://www.curify-ai.com/blog/phonics-flashcards-ai-templates,1,33,3.03%,10.8
https://www.curify-ai.com/contact,1,16,6.25%,5.3
https://www.curify-ai.com/de/blog/ai-engineering-hard-truth,1,6,16.67%,13.3
https://www.curify-ai.com/de/blog/character-prompt-generator,1,24,4.17%,20.8
https://www.curify-ai.com/de/blog/f5-tts-voice-cloning,1,16,6.25%,6.2
https://www.curify-ai.com/de/blog/lip-sync-business-guide,1,5,20.00%,10.4
https://www.curify-ai.com/de/blog/translate-youtube-video,1,10,10.00%,9.1
https://www.curify-ai.com/de/nano-banana-pro-prompts/2105,1,1,100.00%,3.0
https://www.curify-ai.com/de/nano-banana-pro-prompts/3002,1,2,50.00%,10.5
https://www.curify-ai.com/de/nano-banana-pro-prompts/603,1,2,50.00%,6.5
https://www.curify-ai.com/de/nano-banana-pro-prompts/886,1,3,33.33%,6.7
https://www.curify-ai.com/de/nano-banana-pro-prompts/tag/couple,1,1,100.00%,1.0
https://www.curify-ai.com/de/nano-template/celebrity-movie-group-poster/example/template-celebrity-movie-group-poster-germany-2026-world-cup-squad,1,5,20.00%,7.4
https://www.curify-ai.com/de/nano-template/mbti-siliconvalley/example/template-mbti-generic-ai-founders-dario,1,74,1.35%,7.2
https://www.curify-ai.com/en/nano-banana-pro-prompts/3101,1,11,9.09%,5.5
https://www.curify-ai.com/en/nano-template/crafting-step-by-step-tutorial-infographic?craft_topic_info=cricut+svg+upload+guide,1,4,25.00%,6.3
https://www.curify-ai.com/en/nano-template/football-themed-ball-infographic?football_topic_info=2026+world+cup+facts,1,13,7.69%,8.7
https://www.curify-ai.com/en/nano-template/football-tournament-group-stage-bracket-infographic?topic=FIFA+World+Cup+2026+%E2%80%94+USA+%2F+Canada+%2F+Mexico+%E2%80%94+48-team+expanded+format+with+group+stage+and+knockout+bracket,1,44,2.27%,11.7
https://www.curify-ai.com/en/nano-template/group-team-vertical-banner-country-poster?group_countries_info=2026+World+Cup+Group+A%3A+Mexico%2C+Poland%2C+Saudi+Arabia%2C+Argentina+%E2%80%94+North+American+host+opener+group,1,71,1.41%,6.7
https://www.curify-ai.com/en/nano-template/international-event-promotional-poster?topic=2026+FIFA+World+Cup+%E2%80%94+North+American+Soccer+Showcase,1,4,25.00%,5.0
https://www.curify-ai.com/en/nano-template/weather?city_name=wuhan,1,29,3.45%,6.0
https://www.curify-ai.com/en/nano-template/world-cup-team-sticker-poster/example/template-world-cup-team-sticker-poster-brazil,1,14,7.14%,8.2
https://www.curify-ai.com/es/blog/10-prompting-tips-nano-banana,1,38,2.63%,21.5
https://www.curify-ai.com/es/blog/3x3-grid-collage-ai-prompts,1,8,12.50%,9.0
https://www.curify-ai.com/es/blog/ai-youtube-video-translator,1,24,4.17%,14.5
https://www.curify-ai.com/es/nano-banana-pro-prompts/tag/animal,1,4,25.00%,12.8
https://www.curify-ai.com/es/nano-template/artist-biography-infographic/example/template-artist-biography-infographic-pablo-picasso,1,46,2.17%,8.5
https://www.curify-ai.com/es/nano-template/celebrity-movie-group-poster/example/template-celebrity-movie-group-poster-germany-2026-world-cup-squad,1,6,16.67%,4.3
https://www.curify-ai.com/es/nano-template/character/example/template-character-kaito-kid,1,3,33.33%,8.0
https://www.curify-ai.com/es/nano-template/evolution-timeline-infographic/example/template-evolution-timeline-infographic-france-world-cup-evolution,1,18,5.56%,7.1
https://www.curify-ai.com/es/nano-template/mbti-generic/example/template-mbti-generic-Football-Pele-Maradona-Zinedine-Zidane-Ronaldinho,1,8,12.50%,3.6
https://www.curify-ai.com/es/nano-template/mbti-generic/example/template-mbti-generic-friends-group-3,1,1,100.00%,2.0
https://www.curify-ai.com/es/nano-template/science-education-infographic,1,9,11.11%,9.4
https://www.curify-ai.com/es/tools/video-summarizer,1,36,2.78%,17.8
https://www.curify-ai.com/es/topics/kawaii,1,2,50.00%,3.5
https://www.curify-ai.com/fr/blog/10-prompting-tips-video-generation,1,4,25.00%,14.0
https://www.curify-ai.com/fr/blog/character-prompt-generator,1,11,9.09%,5.2
https://www.curify-ai.com/fr/blog/mbti-character-generator,1,5,20.00%,7.2
https://www.curify-ai.com/fr/blog/ml-engineer-vs-ai-engineer,1,15,6.67%,6.0
https://www.curify-ai.com/fr/blog/portugal-soccer-poster-prompts,1,22,4.55%,5.5
https://www.curify-ai.com/fr/blog/preserve-facial-features-ai-generation,1,2,50.00%,5.0
https://www.curify-ai.com/fr/blog/weird-science-facts-classroom-engagement,1,1,100.00%,22.0
https://www.curify-ai.com/fr/nano-banana-pro-prompts/tag/futuristic,1,4,25.00%,7.8
https://www.curify-ai.com/fr/nano-template/mbti-generic/example/template-mbti-generic-Football-Striker-Forward-Winger-Midfielder,1,2,50.00%,8.0
https://www.curify-ai.com/fr/nano-template/world-cup-team-sticker-poster/example/template-world-cup-team-sticker-poster-morocco,1,30,3.33%,7.7
https://www.curify-ai.com/fr/tools/bilingual-subtitles,1,30,3.33%,4.9
https://www.curify-ai.com/fr/topics/naruto,1,12,8.33%,6.6
https://www.curify-ai.com/hi/nano-banana-pro-prompts/1723,1,4,25.00%,3.8
https://www.curify-ai.com/hi/nano-banana-pro-prompts/1881,1,2,50.00%,5.0
https://www.curify-ai.com/hi/nano-banana-pro-prompts/tag/animal,1,4,25.00%,4.3
https://www.curify-ai.com/hi/nano-banana-pro-prompts/tag/hyperrealistic,1,1,100.00%,3.0
https://www.curify-ai.com/ja/blog/10-prompting-tips-video-generation,1,6,16.67%,9.0
https://www.curify-ai.com/ja/blog/preserve-facial-features-ai-generation,1,26,3.85%,9.2
https://www.curify-ai.com/ja/blog/what-is-infographics,1,122,0.82%,65.7
https://www.curify-ai.com/ja/nano-banana-pro-prompts/1608,1,2,50.00%,4.5
https://www.curify-ai.com/ja/nano-banana-pro-prompts/2205,1,2,50.00%,11.0
https://www.curify-ai.com/ja/nano-banana-pro-prompts/tag/athletic,1,8,12.50%,7.0
https://www.curify-ai.com/ja/nano-banana-pro-prompts/tag/bedroom,1,20,5.00%,7.7
https://www.curify-ai.com/ja/nano-banana-pro-prompts/tag/high%20fashion,1,4,25.00%,6.5
https://www.curify-ai.com/ja/nano-banana-pro-prompts/tag/romantic,1,1,100.00%,2.0
https://www.curify-ai.com/ja/nano-template/character/example/template-character-inuyasha,1,3,33.33%,6.0
https://www.curify-ai.com/ja/nano-template/chinese-classic-character-mbti/example/template-chinese-classic-character-mbti-liu-bei,1,1,100.00%,4.0
https://www.curify-ai.com/ja/nano-template/science-education-infographic,1,1,100.00%,2.0
https://www.curify-ai.com/ko/blog/10-prompting-tips-video-generation,1,34,2.94%,6.1
https://www.curify-ai.com/ko/blog/brazil-argentina-soccer-poster-prompts,1,62,1.61%,8.7
https://www.curify-ai.com/ko/blog/mbti-character-generator,1,59,1.69%,9.8
https://www.curify-ai.com/ko/blog/ml-engineer-vs-ai-engineer,1,21,4.76%,13.9
https://www.curify-ai.com/ko/blog/nano-banana-prompt-ecosystem,1,24,4.17%,31.8
https://www.curify-ai.com/ko/blog/red-carpet-ai-looks,1,4,25.00%,6.5
https://www.curify-ai.com/ko/blog/storyboard-to-pipeline,1,19,5.26%,9.8
https://www.curify-ai.com/ko/blog/translate-youtube-video,1,58,1.72%,15.7
https://www.curify-ai.com/ko/blog/translate-youtube-video-to-english,1,63,1.59%,12.1
https://www.curify-ai.com/ko/blog/video-transcription-business-guide,1,58,1.72%,10.9
https://www.curify-ai.com/ko/nano-banana-pro-prompts/1616,1,2,50.00%,4.5
https://www.curify-ai.com/ko/nano-banana-pro-prompts/tag/Architecture,1,2,50.00%,10.0
https://www.curify-ai.com/ko/nano-banana-pro-prompts/tag/friends,1,4,25.00%,9.8
https://www.curify-ai.com/ko/nano-banana-pro-prompts/tag/watercolor,1,3,33.33%,8.3
https://www.curify-ai.com/ko/nano-template/cartoon-character-profile-card-kawaii-style,1,5,20.00%,4.4
https://www.curify-ai.com/ko/nano-template/east-asian-culture-comparison-infographic/example/template-east-asian-culture-comparison-infographic-gift-giving-traditions,1,25,4.00%,3.8
https://www.curify-ai.com/ko/nano-template/mbti-generic/example/template-mbti-generic-bigbangtheory-barrykripke,1,2,50.00%,2.5
https://www.curify-ai.com/ko/nano-template/mbti-generic/example/template-mbti-generic-employee-infj,1,1,100.00%,29.0
https://www.curify-ai.com/ko/nano-template/mbti-generic/example/template-mbti-generic-myth-entp-entj-intp-intj,1,4,25.00%,10.0
https://www.curify-ai.com/ko/nano-template/mbti-nba/example/template-mbti-nba-michaeljordan,1,34,2.94%,3.6
https://www.curify-ai.com/ko/nano-template/mbti-yellowstone/example/template-mbti-yellowstone-jimmy-hurdstrom,1,11,9.09%,4.8
https://www.curify-ai.com/ko/nano-template/mbti-yellowstone/example/template-mbti-yellowstone-ripwheeler,1,29,3.45%,7.7
https://www.curify-ai.com/ko/nano-template/pop-culture-matching-chart/example/template-pop-culture-matching-chart-dessert,1,2,50.00%,16.5
https://www.curify-ai.com/ko/nano-template/recipe,1,5,20.00%,8.6
https://www.curify-ai.com/ko/tools/asl-video-translator,1,14,7.14%,12.6
https://www.curify-ai.com/ko/topics/guides,1,12,8.33%,4.6
https://www.curify-ai.com/ko/topics/mbti-entj,1,21,4.76%,12.0
https://www.curify-ai.com/ko/topics/portrait,1,42,2.38%,11.5
https://www.curify-ai.com/ko/topics/sports,1,8,12.50%,13.6
https://www.curify-ai.com/nano-banana-pro-prompts/1658,1,2,50.00%,2.0
https://www.curify-ai.com/nano-banana-pro-prompts/167,1,2,50.00%,3.0
https://www.curify-ai.com/nano-banana-pro-prompts/1697,1,7,14.29%,23.9
https://www.curify-ai.com/nano-banana-pro-prompts/2068,1,8,12.50%,6.5
https://www.curify-ai.com/nano-banana-pro-prompts/2238,1,6,16.67%,2.7
https://www.curify-ai.com/nano-banana-pro-prompts/2242,1,3,33.33%,8.7
https://www.curify-ai.com/nano-banana-pro-prompts/2276,1,28,3.57%,9.1
https://www.curify-ai.com/nano-banana-pro-prompts/2508,1,3,33.33%,6.0
https://www.curify-ai.com/nano-banana-pro-prompts/2987,1,2,50.00%,26.5
https://www.curify-ai.com/nano-banana-pro-prompts/3025,1,27,3.70%,7.1
https://www.curify-ai.com/nano-banana-pro-prompts/3072,1,3,33.33%,7.0
https://www.curify-ai.com/nano-banana-pro-prompts/3200,1,2,50.00%,7.5
https://www.curify-ai.com/nano-banana-pro-prompts/3393,1,1,100.00%,7.0
https://www.curify-ai.com/nano-banana-pro-prompts/3620,1,3,33.33%,3.3
https://www.curify-ai.com/nano-banana-pro-prompts/4087,1,1,100.00%,1.0
https://www.curify-ai.com/nano-banana-pro-prompts/4113,1,9,11.11%,5.3
https://www.curify-ai.com/nano-banana-pro-prompts/4292,1,8,12.50%,5.9
https://www.curify-ai.com/nano-banana-pro-prompts/4319,1,8,12.50%,7.5
https://www.curify-ai.com/nano-banana-pro-prompts/578,1,39,2.56%,7.3
https://www.curify-ai.com/nano-banana-pro-prompts/685,1,6,16.67%,8.0
https://www.curify-ai.com/nano-banana-pro-prompts/910,1,6,16.67%,7.7
https://www.curify-ai.com/nano-banana-pro-prompts/987,1,29,3.45%,7.1
https://www.curify-ai.com/nano-banana-pro-prompts/tag/beach,1,5,20.00%,7.6
https://www.curify-ai.com/nano-banana-pro-prompts/tag/bold,1,2,50.00%,5.5
https://www.curify-ai.com/nano-banana-pro-prompts/tag/fairy,1,10,10.00%,7.8
https://www.curify-ai.com/nano-banana-pro-prompts/tag/kpop,1,15,6.67%,8.7
https://www.curify-ai.com/nano-banana-pro-prompts/tag/monochrome,1,11,9.09%,8.4
https://www.curify-ai.com/nano-banana-pro-prompts/tag/selfie,1,1,100.00%,7.0
https://www.curify-ai.com/nano-banana-pro-prompts/tag/snowy%20landscape,1,1,100.00%,6.0
https://www.curify-ai.com/nano-banana-pro-prompts/tag/winter,1,1,100.00%,4.0
https://www.curify-ai.com/nano-banana-pro-prompts/tag/y2k,1,10,10.00%,8.7
https://www.curify-ai.com/nano-template/anatomy-cut-guide/example/template-anatomy-cut-guide-pork-cuts,1,2,50.00%,5.5
https://www.curify-ai.com/nano-template/celebrity-movie-group-poster/example/template-celebrity-movie-group-poster-france-2026-world-cup-squad,1,38,2.63%,8.8
https://www.curify-ai.com/nano-template/celebrity-movie-group-poster/example/template-celebrity-movie-group-poster-mexico-2026-world-cup-squad,1,21,4.76%,8.2
https://www.curify-ai.com/nano-template/celebrity-movie-group-poster/example/template-celebrity-movie-group-poster-spain-2026-world-cup-squad,1,29,3.45%,7.8
https://www.curify-ai.com/nano-template/character,1,45,2.22%,10.4
https://www.curify-ai.com/nano-template/character/example/template-character-academic-zhu-bajie,1,2,50.00%,3.5
https://www.curify-ai.com/nano-template/cultural-festival-poster/example/template-cultural-festival-poster-suwori-festival,1,6,16.67%,4.0
https://www.curify-ai.com/nano-template/custom-character-card/example/template-custom-character-card-infj-silent-night-watchman-male,1,2,50.00%,10.0
https://www.curify-ai.com/nano-template/detective-conan,1,13,7.69%,7.8
https://www.curify-ai.com/nano-template/east-asian-culture-comparison-infographic,1,2,50.00%,3.5
https://www.curify-ai.com/nano-template/fashion-shape-guide-infographic,1,25,4.00%,9.8
https://www.curify-ai.com/nano-template/fashion-shape-guide-infographic/example/template-fashion-shape-guide-infographic-cycling-apparel-for-body-type,1,12,8.33%,4.7
https://www.curify-ai.com/nano-template/fashion-style-outfit-breakdown-infographic/example/template-fashion-style-outfit-breakdown-infographic-academia,1,10,10.00%,8.0
https://www.curify-ai.com/nano-template/food-photo-doodle-sticker-overlay,1,139,0.72%,7.0
https://www.curify-ai.com/nano-template/hairstyle-guide-infographic/example/template-hairstyle-guide-infographic-men-korean-short,1,6,16.67%,5.8
https://www.curify-ai.com/nano-template/history-timeline-infographic/example/template-history-timeline-infographic-video-games-evolution,1,1,100.00%,4.0
https://www.curify-ai.com/nano-template/interior-design-mood-board-generator/example/template-interior-design-mood-board-generator-aromatherapy-spa-corner,1,4,25.00%,5.3
https://www.curify-ai.com/nano-template/mbti-marvel/example/template-mbti-marvel-war-machine,1,35,2.86%,7.7
https://www.curify-ai.com/nano-template/mbti-naruto,1,74,1.35%,9.4
https://www.curify-ai.com/nano-template/mbti-nba-en/example/template-mbti-nba-en-stevenash,1,13,7.69%,6.6
https://www.curify-ai.com/nano-template/mbti-personality-compatibility-infographic/example/template-mbti-personality-compatibility-infographic-istp-esfj-pairing,1,4,25.00%,5.5
https://www.curify-ai.com/nano-template/mbti-relationship-infographic,1,1,100.00%,1.0
https://www.curify-ai.com/nano-template/mbti-stereotype-vs-reality-infographic/example/template-mbti-stereotype-vs-reality-infographic-infp,1,2,50.00%,5.0
https://www.curify-ai.com/nano-template/mbti-yellowstone/example/template-mbti-yellowstone-bethdutton,1,144,0.69%,7.8
https://www.curify-ai.com/nano-template/mbti-yellowstone/example/template-mbti-yellowstone-lloyd-pierce,1,4,25.00%,5.5
https://www.curify-ai.com/nano-template/mbti-yellowstone/example/template-mbti-yellowstone-teeter,1,56,1.79%,6.3
https://www.curify-ai.com/nano-template/player-vintage-stats-card-poster/example/template-player-vintage-stats-card-poster-lionel-messi-argentina,1,16,6.25%,4.6
https://www.curify-ai.com/nano-template/product-poster/example/template-product-poster-label-printer,1,1,100.00%,5.0
https://www.curify-ai.com/nano-template/product-poster/example/template-product-poster-smart-cycling-computer,1,4,25.00%,4.0
https://www.curify-ai.com/nano-template/recipe,1,40,2.50%,5.2
https://www.curify-ai.com/nano-template/series-infographic/example/template-series-infographic-sora-07,1,4,25.00%,3.0
https://www.curify-ai.com/nano-template/slang-week-recap-infographic/example/template-slang-week-recap-infographic-spill-the-tea-slay-cap-bussin-simp-hits-different,1,1,100.00%,25.0
https://www.curify-ai.com/nano-template/sports-technique-guide/example/template-sports-technique-guide-judo,1,1,100.00%,10.0
https://www.curify-ai.com/nano-template/sports-trophy-infographic/example/template-sports-trophy-infographic-fifa-world-cup-trophy,1,18,5.56%,7.6
https://www.curify-ai.com/nano-template/travel/example/template-travel-dubai-7-1-7-5,1,2,50.00%,4.5
https://www.curify-ai.com/nano-template/travel/example/template-travel-mumbai,1,14,7.14%,7.6
https://www.curify-ai.com/nano-template/whimsical-travel-map/example/template-whimsical-travel-map-brazil-brazil,1,10,10.00%,13.3
https://www.curify-ai.com/nano-template/wine-variety-intro-infographic/example/template-wine-variety-intro-infographic-white-wine,1,2,50.00%,2.0
https://www.curify-ai.com/nano-template/world-cup-team-sticker-poster/example/template-world-cup-team-sticker-poster-canada,1,8,12.50%,7.9
https://www.curify-ai.com/nano-template/world-cup-team-sticker-poster/example/template-world-cup-team-sticker-poster-mexico,1,48,2.08%,7.2
https://www.curify-ai.com/nano-template/world-cup-team-sticker-poster/example/template-world-cup-team-sticker-poster-portugal,1,31,3.23%,8.0
https://www.curify-ai.com/ru/nano-template/mbti-generic/example/template-mbti-generic-naruto-narutouzumaki,1,43,2.33%,7.6
https://www.curify-ai.com/ru/nano-template/mbti-naruto/example/template-mbti-naruto-Orochimaru,1,14,7.14%,6.2
https://www.curify-ai.com/tr/blog/character-prompt-generator,1,17,5.88%,12.6
https://www.curify-ai.com/tr/blog/translate-youtube-video,1,34,2.94%,10.1
https://www.curify-ai.com/tr/blog/what-is-voice-cloning,1,69,1.45%,14.7
